ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,19edeac2-e63f-4795-8a8b-17a6e9fdb6e3,1,,,3788741,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,,0,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 30357, 'name': 'Uğurcan Çakır'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 10349, 'name': 'Mehmet Zeki Çelik'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 23558, 'name': 'Merih Demiral'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8963, 'name': 'Caglar Söyüncü'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31042, 'name': 'Cengiz Umut Meraş'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 12555, 'name': 'Okay Yokuşlu'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 29989, 'name': 'Yusuf Yazıcı'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 11088, 'name': 'Ozan Tufan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 11086, 'name': 'Burak Yılmaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Turkey,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,89072e2e-b64f-4099-846b-b22cf000f9c7,2,,,3788741,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,,0,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8286, 'name': 'Leonardo Spinazzola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8181, 'name': 'Nicolò Barella'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7038, 'name': 'Manuel Locatelli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Italy,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,46c6901e-3b12-495a-b68a-19ca15798ed0,3,,,3788741,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,['9e5b0646-91cc-49a1-bf88-39bde773b949'],0,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9e5b0646-91cc-49a1-bf88-39bde773b949,4,,,3788741,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,['46c6901e-3b12-495a-b68a-19ca15798ed0'],0,,,,,,,,,,,,,,Turkey,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5c2a7c70-becf-4520-856d-d80b55367c75,2004,,,3788741,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,110,Turkey,909,['e767b1ab-b5c8-4ac4-87c9-d7a884399777'],0,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e767b1ab-b5c8-4ac4-87c9-d7a884399777,2005,,,3788741,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,110,Turkey,909,['5c2a7c70-becf-4520-856d-d80b55367c75'],0,,,,,,,,,,,,,,Turkey,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,1.910504,,,,,,,,,,,,bbc398f7-c784-4958-a504-37b583caf97a,5,,"[60.0, 40.0]",3788741,0,,,,,-2.7548325,,Right Foot,,,"[32.5, 28.8]",,Ground Pass,,29.693266,,,,Caglar Söyüncü,,,,,Kick Off,1,From Kick Off,Burak Yılmaz,11086.0,Center Forward,2,Turkey,909,['0d2c8266-ba81-46ee-acf8-a9eebd86d672'],0,,,,,,,,,,,,,,Turkey,00:00:00.878,Pass,,60.0,40.0,32.5,28.8,,,
,,,,,,,,,,,,,,,,2.476772,,,,,,,,,,,,5c210f79-9714-44a6-b2ec-387f6a117b37,8,,"[36.2, 30.4]",3788741,0,,,,,0.9209817,,Left Foot,,,"[70.7, 75.8]",,High Pass,,57.021137,,,,Kenan Karaman,,True,,,,1,From Kick Off,Caglar Söyüncü,8963.0,Left Center Back,2,Turkey,909,['ced7b363-5824-4994-90f1-de3684d0b3c4'],4,,,,,,,,,,,,,,Turkey,00:00:04.288,Pass,,36.2,30.4,70.7,75.8,,,
,,,,,,,,,,,,,,,,1.93023,,,,,,,,,,,,8a3e6668-9680-4417-987e-8db0c6ce6a8b,13,,"[43.1, 0.1]",3788741,0,,,,,2.876891,,,,,"[15.8, 7.5]",,Low Pass,,28.285154,,,,Giorgio Chiellini,,,,,Throw-in,1,From Throw In,Leonardo Spinazzola,8286.0,Left Back,3,Italy,914,['22dcaf5f-027e-4dc7-a47c-e8c67b5ce4aa'],12,,,,,,,,,,,,,,Italy,00:00:12.163,Pass,,43.1,0.1,15.8,7.5,,,
,,,,,,,,,,,,,,,,1.822108,,,,,,,,,,,,f8e61bb0-b618-4695-9ff9-eaa0584bdbfa,16,,"[3.3, 12.7]",3788741,0,,,,,1.3774958,,Right Foot,,,"[7.9, 36.2]",,Ground Pass,,23.94598,,,,Gianluigi Donnarumma,,,,,,1,From Throw In,Giorgio Chiellini,6954.0,Left Center Back,3,Italy,914,['15840f3b-5952-465f-a546-3022777eb4bf'],16,,,,,,,,,,,,,,Italy,00:00:16.420,Pass,,3.3,12.7,7.9,36.2,,,
