ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3b0a96ba-e1a5-40c3-8cd4-3b1b5ddfa344,1,,,,3788742,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,,0,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 16554, 'name': 'Joakim Mæhle'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5527, 'name': 'Thomas Delaney'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5536, 'name': 'Yussuf Yurary Poulsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 21261, 'name': 'Jonas Older Wind'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Denmark,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,82c5756c-1a62-4509-b042-5ad65c41223e,2,,,,3788742,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,,0,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26939, 'name': 'Joona Toivio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 24455, 'name': 'Paulus Arajuuri'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 38196, 'name': 'Daniel O""Shaughnessy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15416, 'name': 'Jukka Raitala'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 16550, 'name': 'Jere Juhani Uronen'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 24648, 'name': 'Tim Sparv'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 24321, 'name': 'Robin Lod'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 13215, 'name': 'Glen Kamara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 9725, 'name': 'Joel Pohjanpalo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 9476, 'name': 'Teemu Pukki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Finland,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,174955af-676c-42a6-acea-207131d8a886,3,,,,3788742,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,['3a595375-0b85-4aea-aef3-ab95b3858485'],0,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3a595375-0b85-4aea-aef3-ab95b3858485,4,,,,3788742,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,['174955af-676c-42a6-acea-207131d8a886'],0,,,,,,,,,,,,,,Finland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6de204f3-2bc3-4660-a377-00ca527de0b6,1648,,,,3788742,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,91,Finland,1835,['221dd934-37d3-473e-8166-2402176b1bfe'],0,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,221dd934-37d3-473e-8166-2402176b1bfe,1649,,,,3788742,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,91,Finland,1835,['6de204f3-2bc3-4660-a377-00ca527de0b6'],0,,,,,,,,,,,,,,Finland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.602673,,,,,,,,,,,,,,5d14bae0-f462-491c-9fc2-e55faec97743,5,,,"[60.0, 40.0]",3788742,0,,,,-1.9655875,,Right Foot,,,"[59.5, 38.8]",,Ground Pass,,1.3,,,,Christian Dannemann Eriksen,,,,,Kick Off,1,From Kick Off,Jonas Older Wind,21261.0,Center Forward,2,Denmark,776,['70e294fd-b3d2-4921-9a41-2691660fadd9'],0,,,,,,,,,,,,,,Denmark,00:00:00.809,Pass,,60.0,40.0,59.5,38.8,,,
,,,,,,,,,,,,,,,1.617772,,,,,,,,,,,,,,d1fceef9-831b-448e-a5fe-6bbf27d9d820,8,,,"[59.5, 40.0]",3788742,0,,,,1.346663,,Right Foot,,,"[67.0, 72.9]",,Low Pass,,33.744038,,,,Daniel Wass,,,,,,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Right Center Midfield,2,Denmark,776,['afaec937-4462-4b01-82ff-20e48140d6fc'],2,,,,,,,,,,,,,,Denmark,00:00:02.163,Pass,,59.5,40.0,67.0,72.9,,,
,,,,,,,,,,,,,,,2.174828,,,,,,,,,,,,,,20cba9ae-dcaf-4ba6-a54b-1b63ed657320,12,,,"[68.5, 73.4]",3788742,0,,,,0.111890264,,Right Foot,,,"[86.3, 75.4]",,High Pass,,17.912006,,,,Yussuf Yurary Poulsen,,,,,,1,From Kick Off,Daniel Wass,6797.0,Right Back,2,Denmark,776,"['265292bf-2314-4e68-b79c-1884ba455d44', '64ad0f1e-470b-4d70-9b2e-76424726bd2e']",5,,,,,,,,,,,,,,Denmark,00:00:05.061,Pass,True,68.5,73.4,86.3,75.4,,,
,,,,,,,,,,,,,,,1.441515,,,,,,,,,,,,,,0fea4454-05cf-4a79-9710-e87ab1a7f156,19,,,"[20.8, 0.1]",3788742,0,,,,0.24497867,,,,,"[44.8, 6.1]",,High Pass,,24.738634,,Incomplete,,Joel Pohjanpalo,,,,,Throw-in,1,From Throw In,"Daniel O""Shaughnessy",38196.0,Left Center Back,3,Finland,1835,"['3d34b5ed-359a-44dd-bba9-656da83c632b', 'c29784b4-6e7d-4883-9168-cd1111a8ff82']",28,,,,,,,,,,,,,,Finland,00:00:28.585,Pass,,20.8,0.1,44.8,6.1,,,
