ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,68cc0b37-a3d6-4585-a3d0-873f6af5f9ff,1,,,3788745,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3323, 'name': 'Tyrone Mings'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 4706, 'name': 'Kalvin Phillips'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 4354, 'name': 'Philip Foden'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 7843, 'name': 'Mason Mount'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7db89c9d-c666-47d4-bb16-db02f138ee5e,2,,,3788745,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 16531, 'name': 'Dominik Livaković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 6307, 'name': 'Duje Ćaleta-Car'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 33018, 'name': 'Joško Gvardiol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 4}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Croatia,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4bd02a7e-9ab5-4c10-993b-48875aa54b73,3,,,3788745,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['22da729b-6b2f-4fdc-9e91-587af4be8807'],0,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,22da729b-6b2f-4fdc-9e91-587af4be8807,4,,,3788745,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['4bd02a7e-9ab5-4c10-993b-48875aa54b73'],0,,,,,,,,,,,,,,Croatia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,40ef6eec-af59-4c0f-a6e1-e09a9f11501c,1764,,,3788745,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,71,England,768,['8b6f0fd4-4de5-4596-8602-50822c0f756b'],0,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8b6f0fd4-4de5-4596-8602-50822c0f756b,1765,,,3788745,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,71,England,768,['40ef6eec-af59-4c0f-a6e1-e09a9f11501c'],0,,,,,,,,,,,,,,Croatia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,1.363612,,,,,,,,,,,,de1529bc-c1f4-43fa-abb9-a802789f823b,5,,"[61.0, 40.1]",3788745,0,,,,2.7211874,,Right Foot,,,,"[35.5, 51.5]",,Ground Pass,,27.93224,,,John Stones,,,,,,Kick Off,1,From Kick Off,Mason Mount,7843.0,Center Attacking Midfield,2,England,768,['0705e133-826c-4021-b453-8950cd9c7618'],0,,,,,,,,,,,,,,England,00:00:00.259,Pass,,61.0,40.1,35.5,51.5,,,
,,,,,,,,,,,,,,,,,5.177607,,,,,,,,,,,,d690cf5f-0a7f-41fa-ac3a-2eb39013b879,8,,"[38.0, 51.7]",3788745,0,,,,-0.63658875,,Right Foot,,,,"[107.8, 0.1]",,High Pass,,86.80207,,Out,Harry Kane,,,True,,,,1,From Kick Off,John Stones,3244.0,Right Center Back,2,England,768,['f7bc23ef-aeb1-4c13-a5a7-2b4cedfc0eec'],3,,,,,,,,,,,,,,England,00:00:03.771,Pass,,38.0,51.7,107.8,0.1,,,
,,,,,,,,,,,,,,,,,0.877445,,,,,,,,,,,,17132193-bb71-48e7-b9da-aef69750bba2,10,,"[26.3, 80.0]",3788745,0,,,,-1.1731683,,,,,,"[30.5, 70.0]",,Low Pass,,10.846197,,,Luka Modrić,,,,,,Throw-in,1,From Throw In,Šime Vrsaljko,5461.0,Right Back,3,Croatia,785,['f2a0b3c1-99f5-4b4f-be62-c01373c5c97a'],21,,,,,,,,,,,,,,Croatia,00:00:21.945,Pass,,26.3,80.0,30.5,70.0,,,
,,,,,,,,,,,,,,,,,0.990382,,,,,,,,,,,,95eee4dd-0f7b-42e6-8f4b-97294ae4bf05,14,,"[29.5, 69.8]",3788745,0,,,,0.6040784,,Right Foot,,,,"[36.6, 74.7]",,High Pass,,8.626702,,,Andrej Kramarić,,,,,,,1,From Throw In,Luka Modrić,5463.0,Right Center Midfield,3,Croatia,785,"['896d2199-51df-4c4d-9539-62283653efe5', 'c8c4eeb6-f791-4d3b-b26e-d52e26cd9e98']",23,,,,,,,,,,,,,,Croatia,00:00:23.255,Pass,True,29.5,69.8,36.6,74.7,,,
