ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3c03e27a-b3b6-4db3-912c-f82cdec5b5d0,1,,,3788746,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21809, 'name': 'Jurriën David Norman Timber'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 7829, 'name': 'Wout Weghorst'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Netherlands,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,851f8104-d478-4119-98d2-4b30e0ad980c,2,,,3788746,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 22243, 'name': 'Heorhii Bushchan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31900, 'name': 'Oleksandr Karavaev'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 39136, 'name': 'Illia Zabarnyi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 18617, 'name': 'Mykola Matviyenko'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 20827, 'name': 'Vitalii Mykolenko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 16514, 'name': 'Serhii Sydorchuk'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 16557, 'name': 'Ruslan Malinovskiy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3575, 'name': 'Oleksandr Zinchenko'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 8830, 'name': 'Andriy Yarmolenko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 31892, 'name': 'Oleksandr Zubkov'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 23649, 'name': 'Roman Yaremchuk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Ukraine,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,74845262-baff-4498-a1ac-426ec957f47a,3,,,3788746,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['c9dc398b-b928-4c6d-a36b-ba311d6e0e3b'],0,,,,,,,,,,,,,,Netherlands,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c9dc398b-b928-4c6d-a36b-ba311d6e0e3b,4,,,3788746,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['74845262-baff-4498-a1ac-426ec957f47a'],0,,,,,,,,,,,,,,Ukraine,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b525e7a9-81ec-499e-8295-bd8957819655,2066,,,3788746,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Ukraine,911,['3d877639-b026-4464-911e-8e4c94c6de18'],0,,,,,,,,,,,,,,Netherlands,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3d877639-b026-4464-911e-8e4c94c6de18,2067,,,3788746,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Ukraine,911,['b525e7a9-81ec-499e-8295-bd8957819655'],0,,,,,,,,,,,,,,Ukraine,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.851014,,,,,,,,,,,,1ab6dde5-0626-4ff9-969c-8ce9e30b0915,5,,"[60.0, 40.0]",3788746,0,,,,-2.629203,,Right Foot,,,,"[52.0, 35.5]",,Ground Pass,,9.17878,,,,Frenkie de Jong,,,,,Kick Off,1,From Kick Off,Memphis Depay,2988.0,Left Center Forward,2,Netherlands,941,['c4fc1fc6-fb29-4f6a-a239-7cefea9fcc84'],0,,,,,,,,,,,,,,Netherlands,00:00:00.227,Pass,,60.0,40.0,52.0,35.5,,,
,,,,,,,,,,,,,,,1.448118,,,,,,,,,,,,9c787ac3-fb84-41c1-9429-f3bf380ff8dc,8,,"[50.8, 29.5]",3788746,0,,,,-2.2063067,,Right Foot,,,,"[40.4, 15.4]",,Ground Pass,,17.52056,,,,Daley Blind,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Netherlands,941,['e9650dbc-935c-46ac-b845-b1d874ad1902'],3,,,,,,,,,,,,,,Netherlands,00:00:03.806,Pass,,50.8,29.5,40.4,15.4,,,
,,,,,,,,,,,,,,,0.731284,,,,,,,,,,,,f5d3322f-84af-4e73-bcdd-260a7c14438f,11,,"[41.6, 14.0]",3788746,0,,,,0.74247974,,Left Foot,,,,"[50.1, 21.8]",,Ground Pass,,11.536464,,,,Frenkie de Jong,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Netherlands,941,['774b8c3a-290b-4af3-a6ac-27ac9113a172'],6,,,,,,,,,,,,,,Netherlands,00:00:06.067,Pass,,41.6,14.0,50.1,21.8,,,
,,,,,,,,,,,,,,,1.233539,,,,,,,,,,,,b7d34d96-153e-4ab1-97a8-79e1af7cea9b,14,,"[48.9, 19.9]",3788746,0,,,,2.2005997,,Right Foot,,,,"[36.0, 37.6]",,Ground Pass,,21.902054,,,,Stefan de Vrij,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Netherlands,941,['1e24fa8b-47d6-449d-b955-36b00e815d49'],9,,,,,,,,,,,,,,Netherlands,00:00:09.011,Pass,,48.9,19.9,36.0,37.6,,,
