50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,44c21046-f100-45a8-9ebd-62e6ea566fc6,1,,,,3788747,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Austria,915,,0,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 21532, 'name': 'Daniel Bachmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3969, 'name': 'Aleksandar Dragović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 18762, 'name': 'Sasa Kalajdzic'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Austria,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,64f6e285-4283-437a-94b7-b3fa709a80e5,2,,,,3788747,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Austria,915,,0,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 21397, 'name': 'Stole Dimitrievski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10592, 'name': 'Stefan Ristovski'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 30644, 'name': 'Darko Velkovski'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 14}, {'player': {'id': 46906, 'name': 'Visar Musliu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 16740, 'name': 'Boban Nikolov'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 4713, 'name': 'Ezgjan Alioski'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6782, 'name': 'Enis Bardhi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 16535, 'name': 'Eljif Elmas'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 7146, 'name': 'Goran Pandev'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",North Macedonia,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c40a128a-fd7d-4424-bd24-1854d6d65242,3,,,,3788747,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Austria,915,['11e6946d-1083-4324-a4b8-36a8f3ebd4d3'],0,,,,,,,,,,,,,,Austria,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,11e6946d-1083-4324-a4b8-36a8f3ebd4d3,4,,,,3788747,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Austria,915,['c40a128a-fd7d-4424-bd24-1854d6d65242'],0,,,,,,,,,,,,,,North Macedonia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4e9f16c4-08cb-49f9-a10f-0a2091aa8f5c,1789,,,,3788747,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,North Macedonia,2358,['3f217369-08a8-4fbb-b0df-143d9683c956'],0,,,,,,,,,,,,,,Austria,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3f217369-08a8-4fbb-b0df-143d9683c956,1790,,,,3788747,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,North Macedonia,2358,['4e9f16c4-08cb-49f9-a10f-0a2091aa8f5c'],0,,,,,,,,,,,,,,North Macedonia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.720508,,,,,,,,,,,,ac1dfe29-900f-4799-8686-77e4936d535c,5,,,"[60.0, 40.0]",3788747,0,,,,1.359703,,Right Foot,,,,"[60.3, 41.4]",,Ground Pass,,1.4317821,,,Sasa Kalajdzic,,,,,Kick Off,1,From Kick Off,Christoph Baumgartner,24977.0,Left Center Forward,2,Austria,915,['ad8b0a8f-e363-4d19-9dfd-45983f94f7b1'],1,,,,,,,,,,,,,,Austria,00:00:01.458,Pass,,60.0,40.0,60.3,41.4,,,
,,,,,,,,,,,,,,,,1.670313,,,,,,,,,,,,f37b43e4-3abc-4fd5-b823-e5b4df3f5964,8,,,"[57.4, 39.7]",3788747,0,,,,-3.0674927,,Right Foot,,,,"[34.5, 38.0]",,Ground Pass,,22.963015,,,David Olatukunbo Alaba,,,,,,1,From Kick Off,Sasa Kalajdzic,18762.0,Right Center Forward,2,Austria,915,['b5dcf0b1-dbc1-457a-a0ca-b34af137a60b'],2,,,,,,,,,,,,,,Austria,00:00:02.294,Pass,,57.4,39.7,34.5,38.0,,,
,,,,,,,,,,,,,,,,0.88745,,,,,,,,,,,,d9cc4b94-ad2d-4229-86bd-26b72da4a135,11,,,"[34.9, 38.9]",3788747,0,,,,1.5265214,,Left Foot,,,,"[35.6, 54.7]",,Ground Pass,,15.815498,,,Aleksandar Dragović,,,,,,1,From Kick Off,David Olatukunbo Alaba,8220.0,Center Back,2,Austria,915,['80573535-1f75-4743-814f-c4d14c3985be'],5,,,,,,,,,,,,,,Austria,00:00:05.036,Pass,,34.9,38.9,35.6,54.7,,,
,,,,,,,,,,,,,,,,0.947012,,,,,,,,,,,,28e388ea-788a-413b-be09-568f754853d2,14,,,"[36.7, 55.3]",3788747,0,,,,-1.7879076,,Right Foot,,,,"[33.7, 41.7]",,Ground Pass,,13.926952,,,David Olatukunbo Alaba,,,,,,1,From Kick Off,Aleksandar Dragović,3969.0,Right Center Back,2,Austria,915,['52844967-b2ec-4d8d-9508-73449e6f2817'],6,,,,,,,,,,,,,,Austria,00:00:06.251,Pass,,36.7,55.3,33.7,41.7,,,
