ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,cd4487d2-8fc9-4fd1-baab-e16179b218d1,1,,,,3788748,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,,0,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 9645, 'name': 'David Marshall'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 11116, 'name': 'Jack Hendry'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 9481, 'name': 'Grant Hanley'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 9621, 'name': 'Liam Cooper'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 9048, 'name': 'Stephen O""Donnell'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 15}, {'player': {'id': 3655, 'name': 'Andrew Robertson'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 3620, 'name': 'Scott McTominay'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 9974, 'name': 'John McGinn'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 10285, 'name': 'Stuart Armstrong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 29571, 'name': 'Lyndon Dykes'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 12510, 'name': 'Ryan Christie'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Scotland,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,3b931b73-a6c5-4941-b7fb-d68b1426ffdf,2,,,,3788748,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 30328, 'name': 'Ondrej Celustka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 13197, 'name': 'Tomáš Kalas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 4875, 'name': 'Jan Bořil'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 23452, 'name': 'Alex Král'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 16472, 'name': 'Lukáš Masopust'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 8095, 'name': 'Jakub Jankto'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Czech Republic,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,eeeba91f-e60c-46c0-859d-c9d7170e6369,3,,,,3788748,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,['70c549dc-1eb8-4375-a471-409694e41205'],0,,,,,,,,,,,,,,,Czech Republic,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,70c549dc-1eb8-4375-a471-409694e41205,4,,,,3788748,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,['eeeba91f-e60c-46c0-859d-c9d7170e6369'],0,,,,,,,,,,,,,,,Scotland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,edcafdfd-6901-4430-96ce-ad4eead7a0f1,1754,,,,3788748,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Scotland,942,['f3ef9329-07b8-4390-8059-fb51c40ae79f'],0,,,,,,,,,,,,,,,Czech Republic,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,f3ef9329-07b8-4390-8059-fb51c40ae79f,1755,,,,3788748,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Scotland,942,['edcafdfd-6901-4430-96ce-ad4eead7a0f1'],0,,,,,,,,,,,,,,,Scotland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,1.32456,,,,,,,,,,3e865a66-8d35-4867-ba07-b161f31620ae,5,,,"[60.0, 40.0]",3788748,0,,,,,-3.0950162,,Left Foot,,,,"[36.4, 38.9]",,Ground Pass,,23.625622,,,,Liam Cooper,,,,,Kick Off,1,From Kick Off,Ryan Christie,12510.0,Left Center Forward,2,Scotland,942,['47cd36eb-375b-4c22-a025-9b31ff9ba914'],0,,,,,,,,,,,,,,,Scotland,00:00:00.236,Pass,,60.0,40.0,36.4,38.9,,,
,,,,,,,,,,,,,,,,3.584721,,,,,,,,,,9fe4bfc3-e0f6-4088-888b-4dec0991667a,8,,,"[40.1, 38.7]",3788748,0,,,,,0.3384426,,Left Foot,,,,"[95.5, 58.2]",,High Pass,,58.731678,,Incomplete,,Lyndon Dykes,,,,,,1,From Kick Off,Liam Cooper,9621.0,Left Center Back,2,Scotland,942,"['712e03c7-51db-4696-b64d-7fcda7cf7a13', 'd3ff72f4-e294-49f9-b5d5-f1b529a816a9']",3,,,,,,,,,,,,,,,Scotland,00:00:03.054,Pass,,40.1,38.7,95.5,58.2,,,
,,,,,,,,,,,,,,,,1.307082,,,,,,,,,,507c5966-8ffd-4b4d-987e-7b514fb72361,13,,,"[84.9, 58.6]",3788748,0,,,,True,-0.25400776,,,,,,"[95.3, 55.9]",,High Pass,,10.744766,,,,Lyndon Dykes,,,,,Recovery,1,From Kick Off,Stuart Armstrong,10285.0,Left Center Midfield,2,Scotland,942,"['2c17d37e-826f-43b7-bdb5-601ce6c20126', '67feb922-0113-47c3-b3b3-bcc97e5da5ec']",8,,,,,,,,,,,,,,,Scotland,00:00:08.201,Pass,True,84.9,58.6,95.3,55.9,,,
,,,,,,,,,,,,,,,,1.386146,,,,,,,,,,cd4b26ab-df79-45c1-9ffe-c6dcbaf17140,17,,,"[93.5, 52.8]",3788748,0,,,,,1.6045673,,Right Foot,,,,"[93.0, 67.6]",,Ground Pass,,14.808443,,,,"Stephen O""Donnell",,,,,,1,From Kick Off,Lyndon Dykes,29571.0,Right Center Forward,2,Scotland,942,"['1d925b4c-4566-43a2-aeb6-4e1c7130f537', '7492d602-c256-4835-8f3f-a83eff1fd584']",10,,,,,,,,,,,,,,,Scotland,00:00:10.961,Pass,True,93.5,52.8,93.0,67.6,,,
