ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,04c8dd61-216b-4e4a-9d9b-b97a3043d6f6,1,,,,3788751,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",France,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,602daf2d-9d5c-4f74-8681-27bd77fd18eb,2,,,,3788751,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 6}, {'player': {'id': 6985, 'name': 'Robin Gosens'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8966, 'name': 'Kai Havertz'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 8400, 'name': 'Serge Gnabry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Germany,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,614df6f8-792f-42b2-b063-cfc4c4ae6802,3,,,,3788751,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['a85a27fd-5036-4842-8d40-4ba7b4ab1508'],0,,,,,,,,,,,,,,France,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a85a27fd-5036-4842-8d40-4ba7b4ab1508,4,,,,3788751,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['614df6f8-792f-42b2-b063-cfc4c4ae6802'],0,,,,,,,,,,,,,,Germany,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f364db3e-f6f5-4733-95a4-f6063a3c7f3b,1969,,,,3788751,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,73,France,771,['17d9fb87-8b55-4012-9533-f57216806b09'],0,,,,,,,,,,,,,,Germany,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,17d9fb87-8b55-4012-9533-f57216806b09,1970,,,,3788751,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,73,France,771,['f364db3e-f6f5-4733-95a4-f6063a3c7f3b'],0,,,,,,,,,,,,,,France,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,1.002141,,,,,,,,,,,,,,c5a1e95e-df4d-4c40-b6a0-7d5f785c39c7,5,,,"[61.0, 40.1]",3788751,0,,,,,2.98083,,Right Foot,,,,"[49.9, 41.9]",Ground Pass,,11.244999,,,,Toni Kroos,,,,,Kick Off,1,From Kick Off,Serge Gnabry,8400.0,Center Forward,2,Germany,770,['0e081153-3473-4607-88f6-b2a449d2203b'],0,,,,,,,,,,,,,,Germany,00:00:00.552,Pass,,61.0,40.1,49.9,41.9,,,
,,,,,,,,,,,,,0.961896,,,,,,,,,,,,,,3b139338-071a-4099-9fb3-c9e7d6abf815,8,,,"[49.9, 39.3]",3788751,0,,,,,2.968732,,Left Foot,,,,"[37.3, 41.5]",Ground Pass,,12.790622,,,,Mats Hummels,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,['209656d2-0f3c-4b94-8b17-73ad9f060d81'],2,,,,,,,,,,,,,,Germany,00:00:02.113,Pass,,49.9,39.3,37.3,41.5,,,
,,,,,,,,,,,,,3.513408,,,,,,,,,,,,,,41716c8c-1b56-44bf-88df-50cec2e24ff7,11,,,"[37.0, 40.6]",3788751,0,,,,,0.26188526,,Right Foot,,,,"[104.9, 58.8]",High Pass,,70.29687,,Incomplete,,Thomas Müller,,,,,,1,From Kick Off,Mats Hummels,5572.0,Center Back,2,Germany,770,"['62ddc444-53f1-4718-84e2-c3b176f85cdb', '7583477e-31c1-4876-8337-bbb6ab4f6bb7']",4,,,,,,,,,,,,,,Germany,00:00:04.484,Pass,,37.0,40.6,104.9,58.8,,,
,,,,,,,,,,,,,1.715071,,,,,,,,,,,,,,62ddc444-53f1-4718-84e2-c3b176f85cdb,13,,,"[15.2, 21.3]",3788751,0,,,,,-1.1824776,,Head,,,,"[20.6, 8.1]",High Pass,,14.261837,,,,Adrien Rabiot,,,,,Recovery,1,From Kick Off,Lucas Hernández Pi,5484.0,Left Back,2,Germany,770,"['41716c8c-1b56-44bf-88df-50cec2e24ff7', '651c5dab-56aa-445e-b031-1ee6a03406b8']",7,,,,,,,,,,,,,,France,00:00:07.997,Pass,,15.2,21.3,20.6,8.1,,,
