50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9427b18a-6b10-411f-90da-3d6240b80c71,1,,,3788753,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,,0,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26939, 'name': 'Joona Toivio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 24455, 'name': 'Paulus Arajuuri'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 38196, 'name': 'Daniel O""Shaughnessy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15416, 'name': 'Jukka Raitala'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 16550, 'name': 'Jere Juhani Uronen'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 12807, 'name': 'Rasmus Schüller'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 24321, 'name': 'Robin Lod'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 13215, 'name': 'Glen Kamara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 9476, 'name': 'Teemu Pukki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 9725, 'name': 'Joel Pohjanpalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Finland,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,542c58bf-5c6c-43ca-9d8d-e086c7f08aaf,2,,,3788753,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,,0,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 21298, 'name': 'Matvey Safonov'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 18735, 'name': 'Dmitriy Barinov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 31917, 'name': 'Igor Diveev'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 16583, 'name': 'Georgiy Dzhikiya'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5179, 'name': 'Daler Kuzyaev'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 20845, 'name': 'Magomed Ozdoev'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 6299, 'name': 'Aleksey Miranchuk'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 5177, 'name': 'Aleksandr Golovin'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 5195, 'name': 'Artem Dzyuba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Russia,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a0dfe8a0-a0b9-443e-89e3-a8ba6596fa33,3,,,3788753,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,['c7156352-f4b7-4140-aa51-6e26fd019a11'],0,,,,,,,,,,,,,,Finland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7156352-f4b7-4140-aa51-6e26fd019a11,4,,,3788753,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,['a0dfe8a0-a0b9-443e-89e3-a8ba6596fa33'],0,,,,,,,,,,,,,,Russia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,17640946-2046-424d-a1cc-470f0eda815a,1857,,,3788753,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Finland,1835,['6a484be3-70c2-4492-87c3-7e780553d74b'],0,,,,,,,,,,,,,,Russia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6a484be3-70c2-4492-87c3-7e780553d74b,1858,,,3788753,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Finland,1835,['17640946-2046-424d-a1cc-470f0eda815a'],0,,,,,,,,,,,,,,Finland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,1.373215,,,,,,,,,,,,,94dbc5c3-ef37-445e-9154-3d9f9ea9245d,5,,"[60.0, 40.0]",3788753,0,,,,,3.0699666,,Left Foot,,,"[37.7, 41.6]",,Ground Pass,22.357325,,,,,Igor Diveev,,,,,,Kick Off,1,From Kick Off,Aleksey Miranchuk,6299.0,Right Attacking Midfield,2,Russia,796,['c0935bbe-3eb4-4a21-9eee-45f380d1f26d'],0,,,,,,,,,,,,,,Russia,00:00:00.490,Pass,,60.0,40.0,37.7,41.6,,,
,,,,,,,,,,,,,,,,3.332542,,,,,,,,,,,,,c943a37b-f9ae-4784-beb7-f9efce2ca855,8,,"[41.4, 42.2]",3788753,0,,,,,-0.39657712,,Right Foot,,,"[85.1, 23.9]",,High Pass,47.377,,,,,Aleksandr Golovin,,,,,,,1,From Kick Off,Igor Diveev,31917.0,Center Back,2,Russia,796,['9ab10c7a-8de9-4ab3-9bdf-1c3383b6c817'],3,,,,,,,,,,,,,,Russia,00:00:03.374,Pass,,41.4,42.2,85.1,23.9,,,
,,,,,,,,,,,,,,,,1.734028,,,,,,,,,,,,,2bf9d325-fba4-4dfa-9f9f-08a25e70b073,11,,"[85.1, 23.9]",3788753,0,,,,True,-1.1938871,,,,,"[90.8, 9.5]",,Low Pass,15.487091,,,,,Daler Kuzyaev,,,,,,,1,From Kick Off,Aleksandr Golovin,5177.0,Left Attacking Midfield,2,Russia,796,"['b8f60d23-03f4-4448-ab89-aa18e2db1258', 'e9c92d0c-f223-4255-8aec-3a7f533d5e76']",6,,,,,,,,,,,,,,Russia,00:00:06.707,Pass,True,85.1,23.9,90.8,9.5,,,
,,,,,,,,,,,,,,,,0.863683,,,,,,,,,,,,,842fd78c-c050-4a88-b48d-758414697864,13,,"[90.8, 9.5]",3788753,0,,,,,1.3529358,,Right Foot,,,"[93.7, 22.6]",,Ground Pass,13.417153,,,,,Artem Dzyuba,,,,,,,1,From Kick Off,Daler Kuzyaev,5179.0,Left Wing Back,2,Russia,796,['4c5e1df5-2a1f-46b1-8f97-1b7aebec76f0'],8,,,,,,,,,,,,,,Russia,00:00:08.441,Pass,,90.8,9.5,93.7,22.6,,,
,,,,,,,,,,,,,,,,1.99964,,,,,,,,,,,,,60034587-15ac-4edd-bf3d-19a059043557,17,,"[94.5, 20.9]",3788753,0,,,,,-0.31597027,,Left Foot,,,"[115.3, 14.1]",,Ground Pass,21.883327,,,,,Daler Kuzyaev,,,,,,,1,From Kick Off,Artem Dzyuba,5195.0,Center Forward,2,Russia,796,['1c51d311-8113-4908-ac26-c5c7c6de4766'],10,,,,,,,,,,,,,,Russia,00:00:10.361,Pass,,94.5,20.9,115.3,14.1,,,
,,,,,,,,,,,,,,,,0.848868,,,,,,,,,,,,,0457a0fa-f3f2-423f-a5ab-54d663fabb42,23,,"[4.1, 59.4]",3788753,0,,,,,1.6539376,,Right Foot,,,"[3.5, 66.6]",,Ground Pass,7.2249565,,,,,Jukka Raitala,,,,,,Recovery,1,Regular Play,Paulus Arajuuri,24455.0,Center Back,3,Finland,1835,['3fa0546b-2424-4c0b-ba71-a14522dec67e'],14,,,,,,,,,,,,,,Finland,00:00:14.780,Pass,,4.1,59.4,3.5,66.6,,,
,,,,,,,,,,,,,,,,1.153924,,,,,,,,,,,,,cafb12ec-ba77-47ef-8064-7101149e85d6,31,,"[8.9, 73.5]",3788753,0,,,,,-0.7352472,,Right Foot,,,"[22.5, 61.2]",,Ground Pass,18.33712,,,,,Rasmus Schüller,,,,,,,1,Regular Play,Jukka Raitala,15416.0,Right Wing Back,3,Finland,1835,['26ab4984-f313-4e34-8ddc-69c949d5f7cc'],17,,,,,,,,,,,,,,Finland,00:00:17.362,Pass,,8.9,73.5,22.5,61.2,,,
