ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f866e665-367c-485f-8315-b259ac6348c1,1,,,,3788754,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 11514, 'name': 'Giovanni Di Lorenzo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8286, 'name': 'Leonardo Spinazzola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8181, 'name': 'Nicolò Barella'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7038, 'name': 'Manuel Locatelli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Italy,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,59dbfac2-8226-4a24-a512-f54a041900e8,2,,,,3788754,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,,0,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 16027, 'name': 'Kevin Mbabu'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 13}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Switzerland,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,91007861-a2e2-462b-9827-9cef3677da0d,3,,,,3788754,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,['eb9ce502-ff91-4101-be16-241068daab73'],0,,,,,,,,,,,,,,,Switzerland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,eb9ce502-ff91-4101-be16-241068daab73,4,,,,3788754,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,['91007861-a2e2-462b-9827-9cef3677da0d'],0,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7df34a89-6578-4459-b21f-1468b33f4e4a,1987,,,,3788754,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,81,Italy,914,['740e23f7-1642-4677-a7b8-3993e0c9ff7a'],0,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,740e23f7-1642-4677-a7b8-3993e0c9ff7a,1988,,,,3788754,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,81,Italy,914,['7df34a89-6578-4459-b21f-1468b33f4e4a'],0,,,,,,,,,,,,,,,Switzerland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,1.245499,,,,,,,,,,,,,,1eaf43f8-00ed-4b5e-b422-709e3c1cb1b1,5,,,"[60.0, 40.0]",3788754,0,,,,-3.0111165,,Left Foot,,,"[37.9, 37.1]",,Ground Pass,,22.28946,,,,,Manuel Obafemi Akanji,,,,,Kick Off,1,From Kick Off,Xherdan Shaqiri,3533.0,Center Attacking Midfield,2,Switzerland,773,['4cf3d463-4d94-47f3-ac3b-2e680cc1d4fe'],0,,,,,,,,,,,,,,,Switzerland,00:00:00.149,Pass,,60.0,40.0,37.9,37.1,,,
,,,,,,,,,,,,,,,,2.645858,,,,,,,,,,,,,,c989cf51-d594-411d-80ae-a8fdf55a92f3,8,,,"[39.2, 37.1]",3788754,0,,,,0.7740207,,Right Foot,,,"[79.2, 76.2]",,High Pass,,55.93577,,,Unknown,,Kevin Mbabu,,,,,,1,From Kick Off,Manuel Obafemi Akanji,5549.0,Left Center Back,2,Switzerland,773,['4450839a-0bfd-4dcc-a3d7-279d3ffa9749'],2,,,,,,,,,,,,,,,Switzerland,00:00:02.883,Pass,,39.2,37.1,79.2,76.2,,,
,,,,,,,,,,,,,,,,1.374602,,,,,,,,,,,,,,d8d197e3-295a-4659-9e72-e7d81a2a0185,12,,,"[81.1, 76.0]",3788754,0,,,,-0.9933567,,Left Foot,,,"[102.6, 43.0]",,High Pass,,39.38591,,,Incomplete,,Nico Elvedi,,,,,Free Kick,1,From Free Kick,Xherdan Shaqiri,3533.0,Center Attacking Midfield,3,Switzerland,773,"['20ac39ed-59c9-409d-a329-d1fcf7d270bd', '674f85fe-493a-465f-8ce9-bd5be5c54322']",37,,,,,,,,,,,,,,,Switzerland,00:00:37.623,Pass,,81.1,76.0,102.6,43.0,,,
,,,,,,,,,,,,,,,,2.86048,,,,,,,,,,,,,,ff93a040-ea69-4d36-bba2-5af71f21c4d2,16,,,"[63.8, 39.4]",3788754,0,,,,0.6103488,,Right Foot,,,"[99.4, 64.3]",,High Pass,,43.44387,,,,,Xherdan Shaqiri,,,,,Recovery,1,From Free Kick,Kevin Mbabu,16027.0,Right Wing Back,3,Switzerland,773,"['1753a40b-5835-4fe9-bbee-11c967445778', '4ea05ec4-d0d9-4c42-b1d1-65c1f9012aea']",44,,,,,,,,,,,,,,,Switzerland,00:00:44.069,Pass,True,63.8,39.4,99.4,64.3,,,
