bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b05e7f26-a14b-4e87-8648-f0a456a49eec,1,,,,3788755,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 30357, 'name': 'Uğurcan Çakır'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 10349, 'name': 'Mehmet Zeki Çelik'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 12293, 'name': 'Kaan Ayhan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 8963, 'name': 'Caglar Söyüncü'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31042, 'name': 'Cengiz Umut Meraş'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 12555, 'name': 'Okay Yokuşlu'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6971, 'name': 'Cengiz Ünder'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 11088, 'name': 'Ozan Tufan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 11086, 'name': 'Burak Yılmaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Turkey,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5434d702-c4f3-4deb-9af8-c79edc0dcb4c,2,,,,3788755,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9914, 'name': 'Danny Ward'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 4774, 'name': 'Connor Roberts'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 4767, 'name': 'Chris Mepham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 11250, 'name': 'Joe Rodon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 11252, 'name': 'Daniel James'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 22074, 'name': 'Joseff Morrell'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3853, 'name': 'Kieffer Roberto Francisco Moore'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Wales,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0eccda59-656d-4340-93ea-480d83b60dba,3,,,,3788755,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,['0a777446-f4b5-4488-b351-fc240196883c'],0,,,,,,,,,,,,,,,,Wales,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0a777446-f4b5-4488-b351-fc240196883c,4,,,,3788755,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,['0eccda59-656d-4340-93ea-480d83b60dba'],0,,,,,,,,,,,,,,,,Turkey,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,efdfab76-f2b9-40b1-846a-68a352332c4c,1721,,,,3788755,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Turkey,909,['2453e5ad-e378-4a1f-b584-eaeef0526b75'],0,,,,,,,,,,,,,,,,Turkey,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2453e5ad-e378-4a1f-b584-eaeef0526b75,1722,,,,3788755,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Turkey,909,['efdfab76-f2b9-40b1-846a-68a352332c4c'],0,,,,,,,,,,,,,,,,Wales,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,1.930997,,,,,,,,,,,,,,,a821fa7b-e59f-4ba5-940a-68e8112d929e,5,,,"[61.0, 40.1]",3788755,0,,,,,-2.704298,,Right Foot,,,"[36.4, 28.6]",,Ground Pass,,27.155294,,,Chris Mepham,,,,,,Kick Off,1,From Kick Off,Aaron Ramsey,3517.0,Left Center Midfield,2,Wales,907,['f20a8a70-d01f-4336-91e0-65d5713e20ee'],0,,,,,,,,,,,,,,,,Wales,00:00:00.329,Pass,,61.0,40.1,36.4,28.6,,,
,,,,,,,,,,,,,,,3.253397,,,,,,,,,,,,,,,41f26a47-276f-42e2-b983-3d02f6a120ce,8,,,"[36.1, 29.7]",3788755,0,,,,,-0.52955353,,Right Foot,,,"[86.5, 0.2]",,High Pass,,58.398716,Out,,Kieffer Roberto Francisco Moore,,,,,,,1,From Kick Off,Chris Mepham,4767.0,Right Center Back,2,Wales,907,['0e9f2696-490a-4186-b537-56da11b2db50'],3,,,,,,,,,,,,,,,,Wales,00:00:03.240,Pass,,36.1,29.7,86.5,0.2,,,
,,,,,,,,,,,,,,,1.590904,,,,,,,,,,,,,,,83665e40-1fad-42d9-b367-4f99ec4777b9,10,,,"[34.4, 80.0]",3788755,0,,,,,-2.519121,,,,,"[17.4, 67.8]",,Low Pass,,20.924627,,,Kaan Ayhan,,,,,,Throw-in,1,From Throw In,Mehmet Zeki Çelik,10349.0,Right Back,3,Turkey,909,['c93edf88-31b0-406d-974b-77cd094c480d'],14,,,,,,,,,,,,,,,,Turkey,00:00:14.932,Pass,,34.4,80.0,17.4,67.8,,,
,,,,,,,,,,,,,,,2.358119,,,,,,,,,,,,,,,863b897d-a787-44f9-8ede-eb7debae1000,12,,,"[17.4, 67.8]",3788755,0,,True,,,1.7083831,,Right Foot,,,"[16.5, 74.3]",,Ground Pass,,6.5620117,,,Mehmet Zeki Çelik,,,,,,,1,From Throw In,Kaan Ayhan,12293.0,Right Center Back,3,Turkey,909,['1d4c026c-ffb1-4bf4-8d36-fd9b79f89ce1'],19,,,,,,,,,,,,,,,,Turkey,00:00:19.230,Pass,,17.4,67.8,16.5,74.3,,,
