50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2e440c59-b20e-46aa-902b-379eab0bd6be,1,,,3788756,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8069, 'name': 'Matthijs de Ligt'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 7829, 'name': 'Wout Weghorst'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Netherlands,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0c23641b-5311-4cd0-a210-a53cbaec51b5,2,,,3788756,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 21532, 'name': 'Daniel Bachmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3969, 'name': 'Aleksandar Dragović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Austria,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b08f67e8-d009-4288-9e66-780f9cf9b972,3,,,3788756,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['426aa3ca-11d8-49f9-b69f-374788f2201a'],0,,,,,,,,,,,,,,Netherlands,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,426aa3ca-11d8-49f9-b69f-374788f2201a,4,,,3788756,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['b08f67e8-d009-4288-9e66-780f9cf9b972'],0,,,,,,,,,,,,,,Austria,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3e14e54-f808-44b4-8585-c295491793bc,1902,,,3788756,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Netherlands,941,['d2d057ac-30c1-464f-839f-bcae8aca0ef3'],0,,,,,,,,,,,,,,Austria,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d2d057ac-30c1-464f-839f-bcae8aca0ef3,1903,,,3788756,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Netherlands,941,['f3e14e54-f808-44b4-8585-c295491793bc'],0,,,,,,,,,,,,,,Netherlands,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,1.757541,,,,,,,,,,,,,b69fdb09-fb20-4b5c-8ed2-c7feb9620f0e,5,,"[61.0, 40.1]",3788756,0,,,,,-2.9551058,,Left Foot,,,"[34.5, 35.1]",,Ground Pass,,26.967573,,,,David Olatukunbo Alaba,,,,,Kick Off,1,From Kick Off,Michael Gregoritsch,8309.0,Left Center Forward,2,Austria,915,['4b6c5023-ad3e-40c6-b032-f5212785a448'],0,,,,,,,,,,,,,,Austria,00:00:00.952,Pass,,61.0,40.1,34.5,35.1,,,
,,,,,,,,,,,,,,,,,,1.984418,,,,,,,,,,,,,e2f0072c-c41e-42ef-9a76-c08b7c558c9e,8,,"[36.1, 35.4]",3788756,0,,,,,-0.7769477,,Left Foot,,,"[54.0, 17.8]",,Ground Pass,,25.103188,,,,Marcel Sabitzer,,,,,,1,From Kick Off,David Olatukunbo Alaba,8220.0,Center Back,2,Austria,915,['0da9be85-da5d-422c-9fac-aced8c6b63ca'],3,,,,,,,,,,,,,,Austria,00:00:03.084,Pass,,36.1,35.4,54.0,17.8,,,
,,,,,,,,,,,,,,,,,,0.971994,,,,,,,,,,,,,618d14b0-6a2b-4865-957a-044ba2e5d5f9,11,,"[54.0, 17.8]",3788756,0,,,,,3.1415927,,Right Foot,,,"[43.2, 17.8]",,Ground Pass,,10.8,,,,Martin Hinteregger,,,,,,1,From Kick Off,Marcel Sabitzer,8518.0,Left Center Midfield,2,Austria,915,['16d233a2-e13f-485f-83b7-53badc84d569'],5,,,,,,,,,,,,,,Austria,00:00:05.108,Pass,,54.0,17.8,43.2,17.8,,,
,,,,,,,,,,,,,,,,,,1.599325,,,,,,,,,,,,,a8e4f079-6b08-4b65-a08b-a594e13b802b,14,,"[43.2, 17.8]",3788756,0,,,,,2.2915366,,Left Foot,,,"[30.2, 32.6]",,Ground Pass,,19.69873,,,,David Olatukunbo Alaba,,,,,,1,From Kick Off,Martin Hinteregger,8307.0,Left Center Back,2,Austria,915,['c964789f-c41d-41eb-ad88-c2875f95afd4'],6,,,,,,,,,,,,,,Austria,00:00:06.264,Pass,,43.2,17.8,30.2,32.6,,,
