ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,90f4fc8e-c828-4f2f-8bc8-477415b957f0,1,,,,3788757,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,,0,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 18}, {'player': {'id': 16554, 'name': 'Joakim Mæhle'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5527, 'name': 'Thomas Delaney'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 24443, 'name': 'Mikkel Damsgaard'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5536, 'name': 'Yussuf Yurary Poulsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Denmark,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,add2ef29-1456-4271-bd41-34cb65ca17df,2,,,,3788757,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,,0,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 13116, 'name': 'Jason Denayer'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 18}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 15}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 6331, 'name': 'Leander Dendoncker'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 2954, 'name': 'Youri Tielemans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Belgium,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,063cb412-c31e-4d3e-a5ff-10ceef9ca9d0,3,,,,3788757,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,['0932dbcd-b56f-4a87-8066-6ca5dc67609f'],0,,,,,,,,,,,,,,,Belgium,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0932dbcd-b56f-4a87-8066-6ca5dc67609f,4,,,,3788757,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Denmark,776,['063cb412-c31e-4d3e-a5ff-10ceef9ca9d0'],0,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2b2f112b-fe78-4141-90a2-371569d9a129,1998,,,,3788757,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Belgium,782,['a031e8d3-55d8-4ac7-95c7-3ca573999dfa'],0,,,,,,,,,,,,,,,Belgium,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a031e8d3-55d8-4ac7-95c7-3ca573999dfa,1999,,,,3788757,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Belgium,782,['2b2f112b-fe78-4141-90a2-371569d9a129'],0,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,1.723028,,,,,,,,,,,,,c2676711-e363-48e9-bbd9-6572bb65438f,5,,,"[60.0, 40.0]",3788757,0,,,,-2.8880985,,Right Foot,,,,"[40.7, 35.0]",,Ground Pass,,19.937151,,,,,Jannik Vestergaard,,,,,Kick Off,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Right Attacking Midfield,2,Denmark,776,['435afe1f-6f3b-46a7-98d6-720e0825319d'],0,,,,,,,,,,,,,,,Denmark,00:00:00.869,Pass,,60.0,40.0,40.7,35.0,,,
,,,,,,,,,,,,,,,,4.323849,,,,,,,,,,,,,25be80f4-ecc8-484d-8ba0-2c320de6a547,8,,,"[40.5, 35.4]",3788757,0,,,,0.37878105,,Right Foot,,,,"[90.5, 55.3]",,High Pass,,53.81459,,,Incomplete,,Yussuf Yurary Poulsen,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Left Center Back,2,Denmark,776,"['1de3cd93-7d20-4aef-a852-7bc9953f15cb', '7c4fec0e-8cf9-4d0c-a6fb-cb89d5534c7a']",4,,,,,,,,,,,,,,,Denmark,00:00:04.288,Pass,,40.5,35.4,90.5,55.3,,,
,,,,,,,,,,,,,,,,2.861469,,,,,,,,,,,,,857d6124-7d29-4820-b7fa-341ec072e4e3,11,,,"[65.5, 66.2]",3788757,0,,,,0.43636394,,Head,,,,"[86.3, 75.9]",,High Pass,,22.9506,,,Incomplete,,Daniel Wass,,,,,Recovery,1,From Kick Off,Andreas Christensen,3959.0,Right Center Back,2,Denmark,776,"['77d38c9d-bb3c-443e-a76c-7b22ede2fb72', 'eccfadb2-d6ab-434a-90fb-56ffad32cbe4']",11,,,,,,,,,,,,,,,Denmark,00:00:11.822,Pass,,65.5,66.2,86.3,75.9,,,
,,,,,,,,,,,,,,,,0.177459,,,,,,,,,,,,,14f0c3e3-d807-4c64-866c-2e5173b2fc57,16,,,"[33.8, 4.4]",3788757,0,,,,0.1746722,,Left Foot,,,,"[35.5, 4.7]",,Low Pass,,1.7262677,,,Incomplete,,,,,,,,1,Regular Play,Thorgan Hazard,5632.0,Left Wing Back,3,Belgium,782,['356fe744-b81c-46ff-89fd-e4fb3e579e54'],15,,,,,,,,,,,,,,,Belgium,00:00:15.279,Pass,,33.8,4.4,35.5,4.7,,,
