ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c6e52b2d-5547-4d57-8fdc-e2edd6bb9799,1,,,3788758,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 22243, 'name': 'Heorhii Bushchan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31900, 'name': 'Oleksandr Karavaev'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 39136, 'name': 'Illia Zabarnyi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 18617, 'name': 'Mykola Matviyenko'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 20827, 'name': 'Vitalii Mykolenko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 11000, 'name': 'Taras Stepanenko'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 21294, 'name': 'Mykola Shaparenko'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3575, 'name': 'Oleksandr Zinchenko'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 8830, 'name': 'Andriy Yarmolenko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 16557, 'name': 'Ruslan Malinovskiy'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 23649, 'name': 'Roman Yaremchuk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Ukraine,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,24979d3f-f2da-4d28-a898-044e62def6e9,2,,,3788758,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 21397, 'name': 'Stole Dimitrievski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10592, 'name': 'Stefan Ristovski'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 30644, 'name': 'Darko Velkovski'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 14}, {'player': {'id': 46906, 'name': 'Visar Musliu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 16740, 'name': 'Boban Nikolov'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 4713, 'name': 'Ezgjan Alioski'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 8}, {'player': {'id': 46909, 'name': 'Stefan Spirovski'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 6782, 'name': 'Enis Bardhi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 7146, 'name': 'Goran Pandev'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 16535, 'name': 'Eljif Elmas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",North Macedonia,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,43123f23-3b1b-4342-b375-5d2ecfa7c6c2,3,,,3788758,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,['75a1f911-d910-46e0-8366-943ac3518359'],0,,,,,,,,,,,,,,,,Ukraine,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,75a1f911-d910-46e0-8366-943ac3518359,4,,,3788758,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,['43123f23-3b1b-4342-b375-5d2ecfa7c6c2'],0,,,,,,,,,,,,,,,,North Macedonia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c0f3e3bc-e8d6-43a4-93bb-c923c4e4ee28,1843,,,3788758,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Ukraine,911,['753e4056-75d9-4431-9258-492bad104f96'],0,,,,,,,,,,,,,,,,North Macedonia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,753e4056-75d9-4431-9258-492bad104f96,1844,,,3788758,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Ukraine,911,['c0f3e3bc-e8d6-43a4-93bb-c923c4e4ee28'],0,,,,,,,,,,,,,,,,Ukraine,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,2.053734,,,,,,,,,,,,,,,,57b3a340-c61d-4858-bcf8-bafbdc8c1511,5,,"[61.0, 40.1]",3788758,0,,,,3.016043,,Left Foot,,,,"[40.4, 42.7]",,Ground Pass,,20.76343,,,,,Darko Velkovski,,,,,Kick Off,1,From Kick Off,Goran Pandev,7146.0,Right Center Forward,2,North Macedonia,2358,['002f97c4-2d5f-419d-873c-51eca0f829d8'],0,,,,,,,,,,,,,,,,North Macedonia,00:00:00.728,Pass,,61.0,40.1,40.4,42.7,,,
,,,,,,,,,,,,,,1.242408,,,,,,,,,,,,,,,,c4ca6b01-25f5-4066-bc93-93e68d283a5c,8,,"[39.3, 43.0]",3788758,0,,,,-1.1475679,,Right Foot,,,,"[44.3, 31.9]",,Ground Pass,,12.174153,,,,,Enis Bardhi,,,,,,1,From Kick Off,Darko Velkovski,30644.0,Center Back,2,North Macedonia,2358,['3a4de825-394e-429c-bd61-b10ca9b9c08c'],2,,,,,,,,,,,,,,,,North Macedonia,00:00:02.843,Pass,,39.3,43.0,44.3,31.9,,,
,,,,,,,,,,,,,,1.229064,,,,,,,,,,,,,,,,1738d098-7bfa-446f-91f8-9b80aa356637,11,,"[44.3, 31.9]",3788758,0,,,,-1.7759609,,Right Foot,,,,"[40.7, 14.6]",,Ground Pass,,17.670597,,,,,Visar Musliu,,,,,,1,From Kick Off,Enis Bardhi,6782.0,Left Center Midfield,2,North Macedonia,2358,['f2dc872b-7429-4036-b2b8-930cf3f1764e'],4,,,,,,,,,,,,,,,,North Macedonia,00:00:04.791,Pass,,44.3,31.9,40.7,14.6,,,
,,,,,,,,,,,,,,2.497163,,,,,,,,,,,,,,,,0f66af3f-acaf-4e99-b7e3-e43634736375,14,,"[35.8, 15.8]",3788758,0,,,,2.454146,,Right Foot,,,,"[7.3, 39.2]",,Ground Pass,,36.875603,,,,,Stole Dimitrievski,,,,,,1,From Kick Off,Visar Musliu,46906.0,Left Center Back,2,North Macedonia,2358,['52447702-86e1-4db7-ab71-8f0310c2ddf9'],7,,,,,,,,,,,,,,,,North Macedonia,00:00:07.370,Pass,,35.8,15.8,7.3,39.2,,,
,,,,,,,,,,,,,,1.55164,,,,,,,,,,,,,,,,1981330b-ed5f-41f7-b138-db6130b8e109,17,,"[7.3, 42.5]",3788758,0,,,,1.1776687,,Right Foot,,,,"[19.7, 72.4]",,Ground Pass,,32.369274,,,,,Stefan Ristovski,,,,,,1,From Kick Off,Stole Dimitrievski,21397.0,Goalkeeper,2,North Macedonia,2358,['515b7342-fcbb-4291-a8bf-c19915a909a0'],11,,,,,,,,,,,,,,,,North Macedonia,00:00:11.770,Pass,,7.3,42.5,19.7,72.4,,,
,,,,,,,,,,,,,,1.492962,,,,,,,,,,,,,,,,3fed5763-11af-4b9e-b231-38e80c07e5f5,20,,"[19.7, 72.4]",3788758,0,,,,0.18250993,,Right Foot,,,,"[49.5, 77.9]",,Ground Pass,,30.3033,,,,,Boban Nikolov,,,,,,1,From Kick Off,Stefan Ristovski,10592.0,Right Center Back,2,North Macedonia,2358,['3edeb85b-558e-4c5d-b3b3-ccc9dff038bf'],14,,,,,,,,,,,,,,,,North Macedonia,00:00:14.520,Pass,,19.7,72.4,49.5,77.9,,,
,,,,,,,,,,,,,,0.258892,,,,,,,,,,,,,,,,c98a2448-a469-4e66-9dd5-4046e83d267c,23,,"[49.5, 77.9]",3788758,0,,,,0.0,,Left Foot,,,,"[52.2, 77.9]",,Low Pass,,2.7,,,Incomplete,,Eljif Elmas,,,,,,1,From Kick Off,Boban Nikolov,16740.0,Right Wing Back,2,North Macedonia,2358,"['0e027e7c-b3a8-4666-bda0-6d820109d6bc', '740e7281-29c4-4a43-b73a-9bcb8a10a9dc']",16,,,,,,,,,,,,,,,,North Macedonia,00:00:16.425,Pass,,49.5,77.9,52.2,77.9,,,
,,,,,,,,,,,,,,1.640304,,,,,,,,,,,,,,,,b9fc61c7-e922-46e5-bebd-0ff2c215e112,26,,"[55.2, 80.0]",3788758,0,,,,-2.8425655,,,,,,"[41.9, 75.9]",,Low Pass,,13.917615,,,,,Stefan Ristovski,,,,,Throw-in,1,From Throw In,Boban Nikolov,16740.0,Right Wing Back,3,North Macedonia,2358,['22e4c8e9-841a-48b2-88af-9445e4f2a9b9'],22,,,,,,,,,,,,,,,,North Macedonia,00:00:22.743,Pass,,55.2,80.0,41.9,75.9,,,
,,,,,,,,,,,,,,1.402011,,,,,,,,,,,,,,,,18576e11-d81f-42fa-9e88-bd0aed8d5b78,29,,"[41.9, 75.9]",3788758,0,,,,-2.3060436,,Right Foot,,,,"[29.6, 62.3]",,Ground Pass,,18.33712,,,,,Darko Velkovski,,,,,,1,From Throw In,Stefan Ristovski,10592.0,Right Center Back,3,North Macedonia,2358,['21364e9d-5e4a-4081-af8c-cd23c7c23196'],25,,,,,,,,,,,,,,,,North Macedonia,00:00:25.176,Pass,,41.9,75.9,29.6,62.3,,,
,,,,,,,,,,,,,,2.474735,,,,,,,,,,,,,,,,60770842-4873-428f-b492-da8f75e03d1b,31,,"[28.4, 57.7]",3788758,0,,,,-2.404433,,No Touch,,,,"[13.2, 43.9]",,Ground Pass,,20.529978,,True,,,Stole Dimitrievski,,,,,,1,From Throw In,Darko Velkovski,30644.0,Center Back,3,North Macedonia,2358,['00904bf2-edec-4b9e-9134-d6b09bf7839c'],26,,,,,,,,,,,,,,,,North Macedonia,00:00:26.578,Pass,,28.4,57.7,13.2,43.9,,,
,,,,,,,,,,,,,,1.435076,,,,,,,,,,,,,,,,8ac427bd-4079-4eba-945f-ac50ff86153c,34,,"[13.2, 43.9]",3788758,0,,,,1.1031961,,Right Foot,,,,"[23.4, 64.1]",,Ground Pass,,22.629185,,,,,Darko Velkovski,,,,,,1,From Throw In,Stole Dimitrievski,21397.0,Goalkeeper,3,North Macedonia,2358,['95043aca-eaf4-437e-a569-a3055c650eb6'],30,,,,,,,,,,,,,,,,North Macedonia,00:00:30.533,Pass,,13.2,43.9,23.4,64.1,,,
,,,,,,,,,,,,,,0.862406,,,,,,,,,,,,,,,,afb3382a-20dd-4e24-90d0-61f6ce473e59,38,,"[36.6, 66.5]",3788758,0,,,,-0.14001736,,Right Foot,,,,"[51.5, 64.4]",,Low Pass,,15.047259,,,Incomplete,,Goran Pandev,,,,,,1,From Throw In,Darko Velkovski,30644.0,Center Back,3,North Macedonia,2358,"['300d0554-bb93-458a-83e0-e566ef328b6d', '64a3cf17-c583-446c-a0b5-d731c465d743']",35,,,,,,,,,,,,,,,,North Macedonia,00:00:35.035,Pass,,36.6,66.5,51.5,64.4,,,
,,,,,,,,,,,,,,1.257009,,,,,,,,,,,,,,,,f4bea20a-ef35-4006-aa52-455022a64b59,41,,"[43.4, 80.0]",3788758,0,,,,-2.5200026,,,,,,"[29.3, 69.9]",,Low Pass,,17.344164,,,,,Darko Velkovski,,,,,Throw-in,1,From Throw In,Stefan Ristovski,10592.0,Right Center Back,4,North Macedonia,2358,['924a8fe8-331c-423f-a989-0574a7cc602e'],40,,,,,,,,,,,,,,,,North Macedonia,00:00:40.615,Pass,,43.4,80.0,29.3,69.9,,,
,,,,,,,,,,,,,,1.365754,,,,,,,,,,,,,,,,47e67492-ee65-4241-b0f3-5a9f8d7ea54c,43,,"[29.3, 69.9]",3788758,0,,,,-0.75484,,Right Foot,,,,"[41.1, 58.8]",,Low Pass,,16.200308,,,,,Enis Bardhi,,,,,,1,From Throw In,Darko Velkovski,30644.0,Center Back,4,North Macedonia,2358,['d55f0ad8-531b-4f67-9565-e5d62efea19f'],41,,,,,,,,,,,,,,,,North Macedonia,00:00:41.872,Pass,,29.3,69.9,41.1,58.8,,,
,,,,,,,,,,,,,,2.606655,,,,,,,,,,,,,,,,78486eb2-307f-4986-a56c-45de693a4934,47,,"[42.8, 51.9]",3788758,0,,,,-1.5707964,,Right Foot,,,,"[42.8, 4.4]",,High Pass,,47.5,,,,,Ezgjan Alioski,,True,,,,1,From Throw In,Enis Bardhi,6782.0,Left Center Midfield,4,North Macedonia,2358,"['058728a9-7137-42ab-aa9a-4027074c8a73', 'cd68ed70-4a86-4c6e-b6c8-866645ad531e']",45,,,,,,,,,,,,,,,,North Macedonia,00:00:45.294,Pass,True,42.8,51.9,42.8,4.4,,,
,,,,,,,,,,,,,,1.32981,,,,,,,,,,,,,,,,47b3e2cb-a4dc-4c79-ab00-622831223ea3,50,,"[42.8, 4.4]",3788758,0,,,,0.7313967,,Left Foot,,,,"[66.2, 25.4]",,Ground Pass,,31.441374,,,,,Goran Pandev,,,,,,1,From Throw In,Ezgjan Alioski,4713.0,Left Wing Back,4,North Macedonia,2358,['f13bfdbd-9715-45ab-82b2-ede7cd4d3e5d'],49,,,,,,,,,,,,,,,,North Macedonia,00:00:49.945,Pass,,42.8,4.4,66.2,25.4,,,
,,,,,,,,,,,,,,4.943986,,,,,,,,,,,,,,,,b09b3aa9-829b-482c-abb3-55bdacd9b6c1,56,,"[67.4, 21.0]",3788758,1,,,,1.056853,,Right Foot,,,,"[96.7, 72.9]",,High Pass,,59.599495,,,,,Boban Nikolov,,True,,,Free Kick,1,From Free Kick,Visar Musliu,46906.0,Left Center Back,5,North Macedonia,2358,['68207970-8d8a-44d7-ae09-fee64275a813'],4,,,,,,,,,,,,,,,,North Macedonia,00:01:04.642,Pass,,67.4,21.0,96.7,72.9,,,
,,,,,,,,,,,,,,2.68654,,,,,,,,,,,,,,,,6cd64fd5-180e-4944-91d3-0a50e3dbf060,62,,"[3.8, 5.8]",3788758,1,,,,-0.19383179,,Left Foot,,,,"[30.8, 0.5]",,High Pass,,27.515268,,,Out,,Roman Yaremchuk,,,,,,1,From Free Kick,Vitalii Mykolenko,20827.0,Left Back,5,North Macedonia,2358,['657fbe41-7f64-4b28-8f43-347a76ac0faf'],13,,,,,,,,,,,,,,,,Ukraine,00:01:13.386,Pass,,3.8,5.8,30.8,0.5,,,
,,,,,,,,,,,,,,1.582951,,,,,,,,,,,,,,,,cf38a05f-110f-47fb-9b51-caa6e2361a39,64,,"[93.7, 80.0]",3788758,1,,,,-2.907177,,,,,,"[73.6, 75.2]",,Low Pass,,20.665188,,,,,Stefan Ristovski,,,,,Throw-in,1,From Throw In,Boban Nikolov,16740.0,Right Wing Back,6,North Macedonia,2358,['163b4754-66c3-4e71-8a22-9d6cecf64b26'],30,,,,,,,,,,,,,,,,North Macedonia,00:01:30.030,Pass,,93.7,80.0,73.6,75.2,,,
,,,,,,,,,,,,,,2.221744,,,,,,,,,,,,,,,,d37136c9-ff85-4d7a-a3b5-1e7c13e74f1b,68,,"[73.6, 72.9]",3788758,1,,,,2.9631822,,Right Foot,,,,"[49.2, 77.3]",,Ground Pass,,24.793547,,,,,Darko Velkovski,,,,,,1,From Throw In,Stefan Ristovski,10592.0,Right Center Back,6,North Macedonia,2358,"['48c59538-a8a5-4779-a393-c6342a0cc7e8', 'f9337565-092c-4825-8bcf-4221c91fb283']",32,,,,,,,,,,,,,,,,North Macedonia,00:01:32.677,Pass,True,73.6,72.9,49.2,77.3,,,
,,,,,,,,,,,,,,3.642349,,,,,,,,,,,,,,,,64a05449-7947-4426-89cc-e9e8875c0faf,71,,"[49.2, 77.3]",3788758,1,,,,-2.623122,,Right Foot,,,,"[17.3, 59.1]",,Ground Pass,,36.726692,,,,,Stole Dimitrievski,,,,,,1,From Throw In,Darko Velkovski,30644.0,Center Back,6,North Macedonia,2358,['7d47dee3-e162-4524-8523-68dd3c3de554'],35,,,,,,,,,,,,,,,,North Macedonia,00:01:35.080,Pass,,49.2,77.3,17.3,59.1,,,
,,,,,,,,,,,,,,1.715517,,,,,,,,,,,,,,,,668a21ee-03c7-4fbe-8376-9f96466e284a,74,,"[17.3, 59.1]",3788758,1,,,,0.72989964,,Right Foot,,,,"[36.3, 76.1]",,Ground Pass,,25.495098,,,,,Darko Velkovski,,,,,,1,From Throw In,Stole Dimitrievski,21397.0,Goalkeeper,6,North Macedonia,2358,['671c243d-0cac-420e-9861-368e1c71a2fb'],38,,,,,,,,,,,,,,,,North Macedonia,00:01:38.920,Pass,,17.3,59.1,36.3,76.1,,,
