bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ade3e044-0ad3-438e-8b5e-220b3016131b,1,,,3788759,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9550, 'name': 'Reece James'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3323, 'name': 'Tyrone Mings'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 4706, 'name': 'Kalvin Phillips'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 7843, 'name': 'Mason Mount'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4354, 'name': 'Philip Foden'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5000271c-481d-4bdd-9347-34eb85caddd2,2,,,3788759,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 9645, 'name': 'David Marshall'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3620, 'name': 'Scott McTominay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9481, 'name': 'Grant Hanley'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 10540, 'name': 'Kieran Tierney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9048, 'name': 'Stephen O""Donnell'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3655, 'name': 'Andrew Robertson'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 31067, 'name': 'Billy Gilmour'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 10534, 'name': 'Callum McGregor'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9974, 'name': 'John McGinn'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 9466, 'name': 'Che Adams'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 29571, 'name': 'Lyndon Dykes'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Scotland,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1440eeb9-7dc0-435f-94c9-a7bf156f0507,3,,,3788759,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['4ebcf0bb-6d91-4f54-b97e-196e37c7b91d'],0,,,,,,,,,,,,,,Scotland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ebcf0bb-6d91-4f54-b97e-196e37c7b91d,4,,,3788759,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['1440eeb9-7dc0-435f-94c9-a7bf156f0507'],0,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,30ee2e1b-3eeb-48d8-9fac-fb1dd280c4d9,1616,,,3788759,45,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,70,Scotland,942,['acf9c2d2-a586-48e6-87a1-a27dda777555'],0,,,,,,,,,,,,,,Scotland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,acf9c2d2-a586-48e6-87a1-a27dda777555,1617,,,3788759,45,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,70,Scotland,942,['30ee2e1b-3eeb-48d8-9fac-fb1dd280c4d9'],0,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,1.331821,,,,,,,,,,,,,d4c054d5-fb80-4d5e-b22a-33262e8c98f7,5,,"[60.0, 40.0]",3788759,0,,,,-3.0595262,,Right Foot,,,"[36.9, 38.1]",Ground Pass,,23.178007,,,Kieran Tierney,,,,,,Kick Off,1,From Kick Off,Che Adams,9466.0,Right Center Forward,2,Scotland,942,['b0167628-0868-4f27-a2bb-ad50733b6960'],0,,,,,,,,,,,,,,Scotland,00:00:00.683,Pass,,60.0,40.0,36.9,38.1,,,
,,,,,,,,,,,,,,,,,3.078684,,,,,,,,,,,,,f4fbf94a-cdf6-4bb9-976f-ce876af3a7c3,8,,"[37.9, 37.8]",3788759,0,,,,0.6833727,,Left Foot,,,"[84.2, 75.5]",High Pass,,59.707455,,,Lyndon Dykes,,,,,,,1,From Kick Off,Kieran Tierney,10540.0,Left Center Back,2,Scotland,942,['f5f45c92-b9a1-45c6-90f8-cd5f036509e5'],3,,,,,,,,,,,,,,Scotland,00:00:03.047,Pass,,37.9,37.8,84.2,75.5,,,
,,,,,,,,,,,,,,,,,0.956546,,,,,,,,,,,,,29dab03d-0cb0-4e44-bfec-1045a833d911,11,,"[84.2, 75.5]",3788759,0,,,True,0.26916748,,,,,"[98.7, 79.5]",Low Pass,,15.041609,Out,,"Stephen O""Donnell",,,,,,,1,From Kick Off,Lyndon Dykes,29571.0,Left Center Forward,2,Scotland,942,"['3c0733ea-bf09-45ab-8d02-6b440e4192c6', '8a8a99fa-3c63-41b3-8748-bc9b0f46d60d']",6,,,,,,,,,,,,,,Scotland,00:00:06.125,Pass,True,84.2,75.5,98.7,79.5,,,
,,,,,,,,,,,,,,,,,1.951437,,,,,,,,,,,,,53ab1bc5-e88d-4a91-abf9-d64e4f9b2a95,14,,"[37.0, 0.1]",3788759,0,,,,0.3296244,,,,,"[56.0, 6.6]",High Pass,,20.081085,Incomplete,,Harry Kane,,,,,,Throw-in,1,From Throw In,Luke Shaw,3382.0,Left Back,3,England,768,"['09b05a24-c58b-4851-bbc9-a5968292f146', 'c5376185-e8ba-48a3-b438-18d5ac9dca45']",57,,,,,,,,,,,,,,England,00:00:57.293,Pass,,37.0,0.1,56.0,6.6,,,
