50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,43c9e187-a59f-41d4-852a-065a3f56c8e9,1,,,3788760,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16531, 'name': 'Dominik Livaković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 33018, 'name': 'Joško Gvardiol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 4}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 8946, 'name': 'Josip Brekalo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Croatia,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8e70d498-f74a-44f9-87f8-b577469d3ebb,2,,,3788760,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 30328, 'name': 'Ondrej Celustka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 13197, 'name': 'Tomáš Kalas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4875, 'name': 'Jan Bořil'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 16469, 'name': 'Tomáš Holeš'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 16472, 'name': 'Lukáš Masopust'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 8095, 'name': 'Jakub Jankto'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Czech Republic,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,297d7096-d0bd-42ab-9226-f9bd64233403,3,,,3788760,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['c562ff61-ace9-43c6-9bed-a0ad91f9cfa7'],0,,,,,,,,,,,,,,,,Czech Republic,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c562ff61-ace9-43c6-9bed-a0ad91f9cfa7,4,,,3788760,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['297d7096-d0bd-42ab-9226-f9bd64233403'],0,,,,,,,,,,,,,,,,Croatia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e9674dda-1208-49db-9ac9-3064e6b9102e,1567,,,3788760,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Croatia,785,['8c246212-7b3a-4d08-afc2-0480829506c5'],0,,,,,,,,,,,,,,,,Czech Republic,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8c246212-7b3a-4d08-afc2-0480829506c5,1568,,,3788760,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Croatia,785,['e9674dda-1208-49db-9ac9-3064e6b9102e'],0,,,,,,,,,,,,,,,,Croatia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,1.826468,,,,,,,,,,,,,,53af74ce-3afb-4227-aec2-61e47474ef01,5,,"[60.0, 40.0]",3788760,0,,,,,3.0648208,,Left Foot,,,"[36.6, 41.8]",,Ground Pass,,23.46913,,,,Ondrej Celustka,,,,,Kick Off,1,From Kick Off,Patrik Schick,7044.0,Center Forward,2,Czech Republic,912,['077d395e-1513-4fbc-a448-c31f3f27c012'],1,,,,,,,,,,,,,,,,Czech Republic,00:00:01.452,Pass,,60.0,40.0,36.6,41.8,,,
,,,,,,,,,,,,,,3.15779,,,,,,,,,,,,,,e22c065a-2f88-45b6-a8f4-52ce2f135a30,8,,"[36.2, 42.3]",3788760,0,,,,,-0.5550294,,Right Foot,,,"[79.1, 15.7]",,High Pass,,50.47742,,Incomplete,,Jan Bořil,,,,,,1,From Kick Off,Ondrej Celustka,30328.0,Right Center Back,2,Czech Republic,912,"['376e12fa-f0b3-4c05-b10e-7eb397961c3c', '81fca837-714e-415e-824e-374bd299b9ee']",4,,,,,,,,,,,,,,,,Czech Republic,00:00:04.141,Pass,,36.2,42.3,79.1,15.7,,,
,,,,,,,,,,,,,,2.846209,,,,,,,,,,,,,,8c6089b1-ad97-444e-846f-6fe4c136d165,12,,"[48.1, 34.4]",3788760,0,,,,,2.4314291,,Other,,,"[37.4, 43.6]",,Low Pass,,14.111343,,,,Vladimír Coufal,,,,,Recovery,1,From Kick Off,Ondrej Celustka,30328.0,Right Center Back,2,Czech Republic,912,['80581cfc-d4c2-4e3d-9195-aa4bc15b5dd8'],9,,,,,,,,,,,,,,,,Czech Republic,00:00:09.859,Pass,,48.1,34.4,37.4,43.6,,,
,,,,,,,,,,,,,,2.448327,,,,,,,,,,,,,,1faf6f0b-3e02-4b4d-bc81-5a4c7d008be8,15,,"[34.8, 43.9]",3788760,0,,,,,3.1344242,,Right Foot,,,"[6.9, 44.1]",,Ground Pass,,27.900717,,,,Tomáš Vaclík,,,,,,1,From Kick Off,Vladimír Coufal,16570.0,Right Back,2,Czech Republic,912,['1130bac9-e0fa-4890-a520-7689a7112caa'],12,,,,,,,,,,,,,,,,Czech Republic,00:00:12.745,Pass,,34.8,43.9,6.9,44.1,,,
