ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,79d195f9-b5aa-40a7-9258-f0c6a2e779f4,1,,,3788762,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 6840, 'name': 'Marcos Llorente Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6892, 'name': 'Pau Francisco Torres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Spain,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,22879fa4-de28-4a99-97f6-8078fb4dc927,2,,,3788762,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4673, 'name': 'Kamil Jóźwiak'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8737, 'name': 'Tymoteusz Puchacz'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 26}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 9622, 'name': 'Mateusz Andrzej Klich'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 29480, 'name': 'Jakub Moder'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8836, 'name': 'Karol Świderski'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Poland,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3729d2d7-b171-4b5d-99f5-e66118b4eb8c,3,,,3788762,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['52bb380b-bd29-47e5-9d97-8e20e2cbd452'],0,,,,,,,,,,,,,,,,Poland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,52bb380b-bd29-47e5-9d97-8e20e2cbd452,4,,,3788762,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['3729d2d7-b171-4b5d-99f5-e66118b4eb8c'],0,,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c5725cd0-536d-459e-94ee-7a49e751b6ab,1942,,,3788762,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,76,Spain,772,['799d2b2d-bf31-4b9c-8960-45fcc1733481'],0,,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,799d2b2d-bf31-4b9c-8960-45fcc1733481,1943,,,3788762,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,76,Spain,772,['c5725cd0-536d-459e-94ee-7a49e751b6ab'],0,,,,,,,,,,,,,,,,Poland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.927143,,,,,,,,,,,,,,,45b27e4b-eae8-4c74-8ac1-d8cd1b53e0bb,5,,"[61.0, 40.1]",3788762,0,,,,-2.7039614,,Right Foot,,,,"[50.1, 35.0]",,Ground Pass,,12.034118,,,,Jakub Moder,,,,,,Kick Off,1,From Kick Off,Piotr Zieliński,5660.0,Center Defensive Midfield,2,Poland,789,['131decb1-6673-4d38-b9d8-17744d4d7c92'],0,,,,,,,,,,,,,,,,Poland,00:00:00.040,Pass,,61.0,40.1,50.1,35.0,,,
,,,,,,,,,,,,,,,4.636955,,,,,,,,,,,,,,,14eae7de-09ab-44c8-abfa-dee73a95f0fc,8,,"[53.3, 42.9]",3788762,0,,,,0.61449903,,Right Foot,,,,"[101.2, 76.7]",,High Pass,,58.624653,,Incomplete,,Karol Świderski,,,,,,,1,From Kick Off,Jakub Moder,29480.0,Left Center Midfield,2,Poland,789,"['bd96c817-14f4-4c78-9cb7-2a7958e14ba2', 'd399b421-01a3-4808-b01d-d6a2a070f03a']",2,,,,,,,,,,,,,,,,Poland,00:00:02.447,Pass,,53.3,42.9,101.2,76.7,,,
,,,,,,,,,,,,,,,0.690265,,,,,,,,,,,,,,,09e0d59c-6eb3-4440-84ac-40c6114a5f59,12,,"[97.6, 80.0]",3788762,0,,,,-1.0552473,,,,,,"[101.0, 74.0]",,Low Pass,,6.8963757,,,,Piotr Zieliński,,,,,,Throw-in,1,From Throw In,Kamil Jóźwiak,4673.0,Right Wing Back,3,Poland,789,['95071fa0-4ee0-4639-b03c-52c7c9ae6a79'],17,,,,,,,,,,,,,,,,Poland,00:00:17.001,Pass,,97.6,80.0,101.0,74.0,,,
,,,,,,,,,,,,,,,0.915678,,,,,,,,,,,,,,,d6c2ce83-69ea-4e79-8bac-ebfe225c1a82,15,,"[101.0, 74.0]",3788762,0,,,,2.0429182,,Right Foot,,,,"[98.6, 78.7]",,High Pass,,5.27731,,,,Kamil Jóźwiak,,,,,,,1,From Throw In,Piotr Zieliński,5660.0,Center Defensive Midfield,3,Poland,789,['68487317-d8b6-4c46-b12b-ab9872c12c2a'],17,,,,,,,,,,,,,,,,Poland,00:00:17.719,Pass,,101.0,74.0,98.6,78.7,,,
