ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,06a95991-c3d2-4bdb-b0cf-58e86bcba252,1,,,,3788764,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5206, 'name': 'Rúben Santos Gato Alves Dias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 9929, 'name': 'Diogo José Teixeira da Silva'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Portugal,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,257e8924-9bfb-418b-92f1-88ac3903216f,2,,,,3788764,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 6}, {'player': {'id': 6985, 'name': 'Robin Gosens'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 8966, 'name': 'Kai Havertz'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 8400, 'name': 'Serge Gnabry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Germany,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cd33520f-4c93-4096-914d-9e47080999a3,3,,,,3788764,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['a8f5d766-35e3-491e-9d5c-9d6c09d8a17a'],0,,,,,,,,,,,,,,Portugal,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a8f5d766-35e3-491e-9d5c-9d6c09d8a17a,4,,,,3788764,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['cd33520f-4c93-4096-914d-9e47080999a3'],0,,,,,,,,,,,,,,Germany,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b5417aa0-ffb6-49b8-a6fd-ef350336a882,1730,,,,3788764,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Portugal,780,['da7d5938-84e7-402e-b1d5-eb22499280ed'],0,,,,,,,,,,,,,,Portugal,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,da7d5938-84e7-402e-b1d5-eb22499280ed,1731,,,,3788764,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Portugal,780,['b5417aa0-ffb6-49b8-a6fd-ef350336a882'],0,,,,,,,,,,,,,,Germany,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.724374,,,,,,,,,,,,e95eb4c0-5b80-4168-a712-de53cdb2fea0,5,,,"[60.0, 40.0]",3788764,0,,,,-2.5839605,,Right Foot,,,,"[50.7, 34.2]",,Ground Pass,,10.960383,,,,Toni Kroos,,,,,Kick Off,1,From Kick Off,Serge Gnabry,8400.0,Center Forward,2,Germany,770,['d6c6075b-f474-409d-9c22-0a038658e71c'],1,,,,,,,,,,,,,,Germany,00:00:01.281,Pass,,60.0,40.0,50.7,34.2,,,
,,,,,,,,,,,,,,,1.302123,,,,,,,,,,,,81a08b62-e28f-459d-b9ae-cc760dc1ccc5,8,,,"[47.9, 33.8]",3788764,0,,,,-3.0382583,,Left Foot,,,,"[34.4, 32.4]",,Ground Pass,,13.572398,,,,Mats Hummels,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,['fd253561-9115-4d1b-a2d4-5d2c61a0aac6'],2,,,,,,,,,,,,,,Germany,00:00:02.620,Pass,,47.9,33.8,34.4,32.4,,,
,,,,,,,,,,,,,,,1.189015,,,,,,,,,,,,471eec7c-4b11-459a-93dd-21afb149561c,12,,,"[36.4, 39.0]",3788764,0,,,,1.3759892,,Right Foot,,,,"[40.8, 61.3]",,Ground Pass,,22.729937,,,,Matthias Ginter,,,,,,1,From Kick Off,Mats Hummels,5572.0,Center Back,2,Germany,770,"['5e211b06-89cc-4d41-a926-58ee155a9b87', '8a04cca6-655f-4816-ba55-fb6d46428354']",4,,,,,,,,,,,,,,Germany,00:00:04.810,Pass,True,36.4,39.0,40.8,61.3,,,
,,,,,,,,,,,,,,,0.715386,,,,,,,,,,,,732a32a1-d52e-48f2-9ef6-227ea3b4e6fe,15,,,"[42.3, 70.8]",3788764,0,,,,-0.92879224,,Right Foot,,,,"[50.3, 60.1]",,Ground Pass,,13.360015,,,,İlkay Gündoğan,,,,,,1,From Kick Off,Matthias Ginter,8808.0,Right Center Back,2,Germany,770,['70fa37e2-d4ca-4e6f-9c6e-727c71359211'],7,,,,,,,,,,,,,,Germany,00:00:07.600,Pass,,42.3,70.8,50.3,60.1,,,
