ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bf809b76-62f7-4a52-85f3-1fb45c84b5e2,1,,,3788766,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 7480, 'name': 'Alessandro Bastoni'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 4355, 'name': 'Emerson Palmieri dos Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11601, 'name': 'Matteo Pessina'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 7156, 'name': 'Federico Chiesa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Italy,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7bc4e41d-c539-4322-89b5-f8e771523012,2,,,3788766,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,,0,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 9914, 'name': 'Danny Ward'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 11250, 'name': 'Joe Rodon'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4934, 'name': 'Ethan Ampadu'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 10928, 'name': 'Chris Gunter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 4774, 'name': 'Connor Roberts'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 34794, 'name': 'Neco Williams'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 22074, 'name': 'Joseff Morrell'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 11252, 'name': 'Daniel James'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Wales,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fd12ef50-556b-41db-bf2b-d1139c589e62,3,,,3788766,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,['59080fad-3413-4db9-ac6c-83fcd9a83d15'],0,,,,,,,,,,,,,,,Wales,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,59080fad-3413-4db9-ac6c-83fcd9a83d15,4,,,3788766,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,['fd12ef50-556b-41db-bf2b-d1139c589e62'],0,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0491e272-dfab-4ea4-bac3-b851d99eae64,1661,,,3788766,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Wales,907,['3698eede-53ac-4c4f-b998-69cf3e9ca458'],0,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3698eede-53ac-4c4f-b998-69cf3e9ca458,1662,,,3788766,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,94,Wales,907,['0491e272-dfab-4ea4-bac3-b851d99eae64'],0,,,,,,,,,,,,,,,Wales,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,1.394769,,,,,,,,,,,,4db07413-1e7f-4be6-80a7-21a0ca9b2739,5,,"[60.0, 40.0]",3788766,0,,,,,2.884269,,Right Foot,,,"[48.6, 43.0]",,Ground Pass,,11.78813,,,Jorge Luiz Frello Filho,,,,,Kick Off,1,From Kick Off,Andrea Belotti,7471.0,Center Forward,2,Italy,914,['01ae9c7b-86ca-400c-9b13-ad4a11c6b25a'],0,,,,,,,,,,,,,,,Italy,00:00:00.688,Pass,,60.0,40.0,48.6,43.0,,,
,,,,,,,,,,,,,,1.127332,,,,,,,,,,,,6cbb44d2-2534-4827-9c2a-3aa833f76acd,8,,"[46.9, 36.1]",3788766,0,,,,,3.0391488,,Right Foot,,,"[36.2, 37.2]",,Ground Pass,,10.756393,,,Leonardo Bonucci,,,,,,1,From Kick Off,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,2,Italy,914,['b68c04da-fd7c-4703-b89a-b238e336b203'],4,,,,,,,,,,,,,,,Italy,00:00:04.135,Pass,,46.9,36.1,36.2,37.2,,,
,,,,,,,,,,,,,,1.261692,,,,,,,,,,,,89dc6c61-488c-48db-ae69-c1fa387fe0ca,11,,"[34.0, 37.2]",3788766,0,,,,,-1.4127064,,Right Foot,,,"[37.3, 16.5]",,Ground Pass,,20.961393,,,Alessandro Bastoni,,,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Right Center Back,2,Italy,914,['ea103b97-1195-4c5b-9bb8-62fe007b5949'],5,,,,,,,,,,,,,,,Italy,00:00:05.342,Pass,,34.0,37.2,37.3,16.5,,,
,,,,,,,,,,,,,,1.654571,,,,,,,,,,,,ff108b86-3329-4e98-9993-fc0834c499c9,14,,"[37.0, 16.5]",3788766,0,,,,,1.9928013,,Left Foot,,,"[28.2, 36.1]",,Ground Pass,,21.484879,,,Leonardo Bonucci,,,,,,1,From Kick Off,Alessandro Bastoni,7480.0,Left Center Back,2,Italy,914,['fb102e6c-d1ac-4785-b0db-aeac8517dc85'],7,,,,,,,,,,,,,,,Italy,00:00:07.559,Pass,,37.0,16.5,28.2,36.1,,,
