ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,50e3038b-a469-41c4-bf3e-70af3524a5a3,1,,,,3788767,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,,0,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 22243, 'name': 'Heorhii Bushchan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31900, 'name': 'Oleksandr Karavaev'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 39136, 'name': 'Illia Zabarnyi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 18617, 'name': 'Mykola Matviyenko'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 20827, 'name': 'Vitalii Mykolenko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 16514, 'name': 'Serhii Sydorchuk'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 21294, 'name': 'Mykola Shaparenko'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3575, 'name': 'Oleksandr Zinchenko'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 8830, 'name': 'Andriy Yarmolenko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 16557, 'name': 'Ruslan Malinovskiy'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 23649, 'name': 'Roman Yaremchuk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Ukraine,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3f5770f7-8939-4d60-9df7-6b59c0a2809e,2,,,,3788767,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,,0,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 21532, 'name': 'Daniel Bachmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3969, 'name': 'Aleksandar Dragović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Austria,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,840e23eb-bd19-47a6-a7e5-a37d1a66607a,3,,,,3788767,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,['63b8cfe4-c011-4273-8fc3-c59a168b4aa5'],0,,,,,,,,,,,,,,Austria,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,63b8cfe4-c011-4273-8fc3-c59a168b4aa5,4,,,,3788767,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,['840e23eb-bd19-47a6-a7e5-a37d1a66607a'],0,,,,,,,,,,,,,,Ukraine,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,86abd585-9c18-489a-b0ff-99370a8c85de,1824,,,,3788767,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,103,Ukraine,911,['9503e42f-13c8-433c-8ff9-d313072cf34b'],0,,,,,,,,,,,,,,Ukraine,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9503e42f-13c8-433c-8ff9-d313072cf34b,1825,,,,3788767,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,103,Ukraine,911,['86abd585-9c18-489a-b0ff-99370a8c85de'],0,,,,,,,,,,,,,,Austria,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.871645,,,,,,,,,,,,e27669a1-0c9b-4f45-9f6f-74214406a073,5,,,"[61.0, 40.1]",3788767,0,,,,3.0522788,,Right Foot,,,,"[54.3, 40.7]",,Ground Pass,,6.726812,,,,Florian Grillitsch,,,,,Kick Off,1,From Kick Off,Marcel Sabitzer,8518.0,Center Attacking Midfield,2,Austria,915,['0d7400a0-8ef8-4e4b-86db-638c870fe056'],1,,,,,,,,,,,,,,Austria,00:00:01.479,Pass,,61.0,40.1,54.3,40.7,,,
,,,,,,,,,,,,,,,,,0.923116,,,,,,,,,,,,0f5167ed-3d92-4b85-ac7a-6a87c51efa98,8,,,"[53.8, 38.1]",3788767,0,,,,0.19270076,,Right Foot,,,,"[62.0, 39.7]",,Ground Pass,,8.354639,,,,Marcel Sabitzer,,,,,,1,From Kick Off,Florian Grillitsch,11396.0,Left Center Midfield,2,Austria,915,['b673bf53-7907-4ccd-852c-d9af1a57a46b'],2,,,,,,,,,,,,,,Austria,00:00:02.718,Pass,,53.8,38.1,62.0,39.7,,,
,,,,,,,,,,,,,,,,,0.6192,,,,,,,,,,,,4e6e3821-9ba6-4dab-b3f2-af51ed938aba,10,,,"[62.0, 39.7]",3788767,0,,,,2.9983497,,Right Foot,,,,"[51.6, 41.2]",,Ground Pass,,10.507616,,,,Florian Grillitsch,,,,,,1,From Kick Off,Marcel Sabitzer,8518.0,Center Attacking Midfield,2,Austria,915,['0c4dce37-2690-490d-beb4-20d833f3311f'],3,,,,,,,,,,,,,,Austria,00:00:03.641,Pass,,62.0,39.7,51.6,41.2,,,
,,,,,,,,,,,,,,,,,1.267399,,,,,,,,,,,,bf8bc58e-4908-40fb-9e54-160ac9c1a33a,15,,,"[51.1, 41.9]",3788767,0,,,,2.6480289,,Right Foot,,,,"[35.3, 50.4]",,Ground Pass,,17.941294,,,,Aleksandar Dragović,,,,,,1,From Kick Off,Florian Grillitsch,11396.0,Left Center Midfield,2,Austria,915,"['3a31a349-8ae6-41b0-a662-6129a53a7dbb', '502d5446-69ef-4b82-9b5b-ff42e0b8a4de', '81f2bc3c-ca2f-494a-b8a7-fb400af0cfb3']",4,,,,,,,,,,,,,,Austria,00:00:04.776,Pass,True,51.1,41.9,35.3,50.4,,,
