ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,66c2ac2a-72a4-40e9-af15-0db3c5436417,1,,,3788768,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,,0,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26939, 'name': 'Joona Toivio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 24455, 'name': 'Paulus Arajuuri'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 38196, 'name': 'Daniel O""Shaughnessy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15416, 'name': 'Jukka Raitala'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 16550, 'name': 'Jere Juhani Uronen'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 24648, 'name': 'Tim Sparv'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 24321, 'name': 'Robin Lod'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 13215, 'name': 'Glen Kamara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 9476, 'name': 'Teemu Pukki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 9725, 'name': 'Joel Pohjanpalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Finland,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,02bf7a18-1827-4d2a-8586-f91a4dd30beb,2,,,3788768,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,,0,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 13116, 'name': 'Jason Denayer'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 5639, 'name': 'Anga Dedryck Boyata'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 16559, 'name': 'Leandro Trossard'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 24}, {'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 23650, 'name': 'Jeremy Doku'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Belgium,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,26531618-7c39-458d-8485-be63e0e6ffb1,3,,,3788768,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,['8fb2603b-43dd-4222-93a8-ffe24a15e9ef'],0,,,,,,,,,,,,,,Belgium,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,8fb2603b-43dd-4222-93a8-ffe24a15e9ef,4,,,3788768,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Finland,1835,['26531618-7c39-458d-8485-be63e0e6ffb1'],0,,,,,,,,,,,,,,Finland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,859ee403-c5e9-4f96-977b-40c117f76307,2107,,,3788768,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Finland,1835,['fb3b56bc-f19b-43ea-8837-dcef29c7f814'],0,,,,,,,,,,,,,,Belgium,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,fb3b56bc-f19b-43ea-8837-dcef29c7f814,2108,,,3788768,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Finland,1835,['859ee403-c5e9-4f96-977b-40c117f76307'],0,,,,,,,,,,,,,,Finland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,1.118037,,,,,,,,,,9bbc877a-03d3-40f6-91c1-b104736fb47b,5,,"[61.0, 40.1]",3788768,0,,,,,2.9669204,,Right Foot,,,"[52.5, 41.6]",,Ground Pass,,8.631338,,,,,Axel Witsel,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Belgium,782,['b3649459-ca9f-4183-a6c1-7e4b8afa2994'],0,,,,,,,,,,,,,,Belgium,00:00:00.678,Pass,,61.0,40.1,52.5,41.6,,,
,,,,,,,,,,,,,,,2.094629,,,,,,,,,,2936e89a-d013-4bc8-8692-a586b16a35a0,8,,"[52.3, 44.4]",3788768,0,,,,,2.0360887,,Right Foot,,,"[40.1, 68.7]",,Ground Pass,,27.190624,,,,,Jason Denayer,,,,,,1,From Kick Off,Axel Witsel,5642.0,Left Defensive Midfield,2,Belgium,782,['6ec93db1-8bcc-4ede-b2b5-c0b32ec27fb2'],2,,,,,,,,,,,,,,Belgium,00:00:02.394,Pass,,52.3,44.4,40.1,68.7,,,
,,,,,,,,,,,,,,,1.114381,,,,,,,,,,2ada9728-ba54-4ace-a135-6d305a40332b,11,,"[40.1, 68.7]",3788768,0,,,,,-1.8140051,,Right Foot,,,"[36.8, 55.4]",,Ground Pass,,13.703284,,,,,Anga Dedryck Boyata,,,,,,1,From Kick Off,Jason Denayer,13116.0,Right Center Back,2,Belgium,782,['b8891bda-9c39-46df-849d-f9d76ac40dc8'],6,,,,,,,,,,,,,,Belgium,00:00:06.475,Pass,,40.1,68.7,36.8,55.4,,,
,,,,,,,,,,,,,,,1.494841,,,,,,,,,,7af7941b-13ba-4aba-9a2e-57709f3c3f50,14,,"[36.7, 54.8]",3788768,0,,,,,-1.261811,,Right Foot,,,"[48.0, 19.4]",,Ground Pass,,37.15979,,,,,Kevin De Bruyne,,,,,,1,From Kick Off,Anga Dedryck Boyata,5639.0,Center Back,2,Belgium,782,['256164a6-7bd1-429c-b8da-26354f81bfa6'],8,,,,,,,,,,,,,,Belgium,00:00:08.634,Pass,,36.7,54.8,48.0,19.4,,,
