50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,64b51c6f-f652-4ac9-ade0-3920d2897901,1,,,,3788769,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Russia,796,,0,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 21298, 'name': 'Matvey Safonov'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 16583, 'name': 'Georgiy Dzhikiya'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 31917, 'name': 'Igor Diveev'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 5677, 'name': 'Fedor Kudryashov'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5179, 'name': 'Daler Kuzyaev'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 20845, 'name': 'Magomed Ozdoev'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 6299, 'name': 'Aleksey Miranchuk'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 5177, 'name': 'Aleksandr Golovin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5195, 'name': 'Artem Dzyuba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Russia,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1fe4e3e1-1307-47f6-a398-40ece42eb514,2,,,,3788769,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Russia,796,,0,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 18}, {'player': {'id': 16554, 'name': 'Joakim Mæhle'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5527, 'name': 'Thomas Delaney'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 24443, 'name': 'Mikkel Damsgaard'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5536, 'name': 'Yussuf Yurary Poulsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Denmark,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,6adf682d-f2ab-4018-bec2-46de17a09609,3,,,,3788769,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Russia,796,['b5395088-d336-4fba-a453-3f249f544554'],0,,,,,,,,,,,,,,Russia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b5395088-d336-4fba-a453-3f249f544554,4,,,,3788769,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Russia,796,['6adf682d-f2ab-4018-bec2-46de17a09609'],0,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1307fc33-5d9b-4255-98e0-e528e6e78781,1719,,,,3788769,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Russia,796,['a89dc0c7-83ec-49d2-848a-3c3f64956d7d'],0,,,,,,,,,,,,,,Russia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a89dc0c7-83ec-49d2-848a-3c3f64956d7d,1720,,,,3788769,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Russia,796,['1307fc33-5d9b-4255-98e0-e528e6e78781'],0,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,1.685806,,,,,,,,,,,,,,,,e7f13ae3-e371-47ee-a945-f022e33fab64,5,,,"[60.0, 40.0]",3788769,0,,,,,-3.080059,,Left Foot,,,,"[38.9, 38.7]",,Ground Pass,,21.140009,,,,,Igor Diveev,,,,,Kick Off,1,From Kick Off,Aleksey Miranchuk,6299.0,Right Wing,2,Russia,796,['52e276b3-89bc-4779-8cd1-c94ba79ca4b8'],0,,,,,,,,,,,,,,Russia,00:00:00.608,Pass,,60.0,40.0,38.9,38.7,,,
,,,,,,,,,,,,,,,,3.546304,,,,,,,,,,,,,,,,cc908140-c71d-4a4a-9424-003ab5261063,8,,,"[39.6, 38.9]",3788769,0,,,,,-0.5467888,,Right Foot,,,,"[92.5, 6.7]",,High Pass,,61.929394,,,Incomplete,,Artem Dzyuba,,,,,,1,From Kick Off,Igor Diveev,31917.0,Center Back,2,Russia,796,"['3a95918f-5431-4a87-8897-8ba004059a3a', 'd97fecab-df25-4e05-a438-782ffc135558']",3,,,,,,,,,,,,,,Russia,00:00:03.252,Pass,,39.6,38.9,92.5,6.7,,,
,,,,,,,,,,,,,,,,1.450748,,,,,,,,,,,,,,,,c31a23d3-7285-437a-9436-d4a7f2a8de91,12,,,"[75.8, 0.1]",3788769,0,,,,,0.28473043,,,,,,"[88.1, 3.7]",,Low Pass,,12.816006,,,,,Aleksandr Golovin,,,,,Throw-in,1,From Throw In,Daler Kuzyaev,5179.0,Left Wing Back,3,Russia,796,['4c72a56e-e629-42b2-96a2-0b02e0fe98da'],22,,,,,,,,,,,,,,Russia,00:00:22.001,Pass,,75.8,0.1,88.1,3.7,,,
,,,,,,,,,,,,,,,,1.777442,,,,,,,,,,,,,,,,b451c19e-40f9-421b-b9ee-95986f1c8055,16,,,"[31.1, 76.7]",3788769,0,,True,,,-2.0098405,,Right Foot,,,,"[22.6, 58.6]",,Ground Pass,,19.9965,,,,,Simon Thorup Kjær,,,,,Free Kick,1,From Free Kick,Andreas Christensen,3959.0,Right Center Back,4,Denmark,776,['20446aad-45c3-4f8b-8478-4b5712040780'],32,,,,,,,,,,,,,,Denmark,00:00:32.589,Pass,,31.1,76.7,22.6,58.6,,,
