bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,06ee4aac-3032-4021-a76a-6c616fd7de78,1,,,3788770,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,North Macedonia,2358,,0,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 21397, 'name': 'Stole Dimitrievski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10592, 'name': 'Stefan Ristovski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 30644, 'name': 'Darko Velkovski'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 46906, 'name': 'Visar Musliu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4713, 'name': 'Ezgjan Alioski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6782, 'name': 'Enis Bardhi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 16629, 'name': 'Ivan Trichkovski'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 16535, 'name': 'Eljif Elmas'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 7146, 'name': 'Goran Pandev'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",North Macedonia,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,41a3425f-b9de-45ae-b08f-5e35e5215bca,2,,,3788770,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,North Macedonia,2358,,0,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8069, 'name': 'Matthijs de Ligt'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 23230, 'name': 'Ryan Gravenberch'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15582, 'name': 'Donyell Malen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Netherlands,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,053d35fd-f657-4026-8342-b42df0ee2358,3,,,3788770,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,North Macedonia,2358,['00dc8954-be99-40a4-a8d3-082491abde87'],0,,,,,,,,,,,,,,North Macedonia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,00dc8954-be99-40a4-a8d3-082491abde87,4,,,3788770,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,North Macedonia,2358,['053d35fd-f657-4026-8342-b42df0ee2358'],0,,,,,,,,,,,,,,Netherlands,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7941934b-1fd3-449c-9f69-3867c474c231,1967,,,3788770,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Netherlands,941,['d67ad47b-f90b-49b8-96d6-b2f1c108fee3'],0,,,,,,,,,,,,,,Netherlands,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d67ad47b-f90b-49b8-96d6-b2f1c108fee3,1968,,,3788770,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Netherlands,941,['7941934b-1fd3-449c-9f69-3867c474c231'],0,,,,,,,,,,,,,,North Macedonia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.703428,,,,,,,,,,,,c899e330-8b10-4a15-98b2-e3ec6f8b10b3,5,,"[60.0, 40.0]",3788770,0,,,,-2.9869921,,Left Foot,,,,"[52.3, 38.8]",,Ground Pass,,7.7929454,,,,,Eljif Elmas,,,,,,Kick Off,1,From Kick Off,Goran Pandev,7146.0,Center Forward,2,North Macedonia,2358,['9a522754-2e3d-4529-87a1-8636314ee201'],0,,,,,,,,,,,,,,North Macedonia,00:00:00.200,Pass,,60.0,40.0,52.3,38.8,,,
,,,,,,,,,,,,,,,,,,2.20476,,,,,,,,,,,,d7233e1e-edf1-4393-8bc2-5c4016d06c43,8,,"[52.6, 39.7]",3788770,0,,,,1.9370519,,Right Foot,,,,"[41.4, 68.9]",,Ground Pass,,31.274271,,,,,Stefan Ristovski,,,,,,,1,From Kick Off,Eljif Elmas,16535.0,Center Attacking Midfield,2,North Macedonia,2358,['1bceeac4-a9e0-45c4-87ca-823a3d45d587'],1,,,,,,,,,,,,,,North Macedonia,00:00:01.741,Pass,,52.6,39.7,41.4,68.9,,,
,,,,,,,,,,,,,,,,,,1.265739,,,,,,,,,,,,86db9c5f-cc2c-43dc-a2e1-9cd09cc61dc1,11,,"[40.7, 68.9]",3788770,0,,,,-2.1772423,,Right Foot,,,,"[28.7, 51.6]",,Ground Pass,,21.054453,,,,,Darko Velkovski,,,,,,,1,From Kick Off,Stefan Ristovski,10592.0,Right Back,2,North Macedonia,2358,['8ee6ada4-4835-4c6f-b68e-75da2c527eec'],4,,,,,,,,,,,,,,North Macedonia,00:00:04.064,Pass,,40.7,68.9,28.7,51.6,,,
,,,,,,,,,,,,,,,,,,2.148927,,,,,,,,,,,,bb03e7a4-17be-4a81-a2c6-7449c8109e1d,14,,"[29.0, 50.2]",3788770,0,,,,-2.0391388,,Right Foot,,,,"[16.1, 24.7]",,Ground Pass,,28.577263,,,,,Visar Musliu,,,,,,,1,From Kick Off,Darko Velkovski,30644.0,Right Center Back,2,North Macedonia,2358,['2ec54d6d-904f-494d-ba20-14defa142d4b'],6,,,,,,,,,,,,,,North Macedonia,00:00:06.083,Pass,,29.0,50.2,16.1,24.7,,,
