50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ca0f8d44-80ca-47eb-87de-bdbccffcfad8,1,,,3788772,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 30328, 'name': 'Ondrej Celustka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 13197, 'name': 'Tomáš Kalas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4875, 'name': 'Jan Bořil'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 16469, 'name': 'Tomáš Holeš'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 9}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 16472, 'name': 'Lukáš Masopust'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 8095, 'name': 'Jakub Jankto'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Czech Republic,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e83a1db3-2157-4b4d-a609-88803711e577,2,,,3788772,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4706, 'name': 'Kalvin Phillips'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 9638, 'name': 'Jack Grealish'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ded5c8a1-d9c5-4091-af75-36e487633218,3,,,3788772,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,['a6b5698f-695e-4020-9e59-862d9aa0dcd4'],0,,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a6b5698f-695e-4020-9e59-862d9aa0dcd4,4,,,3788772,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,['ded5c8a1-d9c5-4091-af75-36e487633218'],0,,,,,,,,,,,,,,,Czech Republic,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be7d1f9c-5b5a-4837-9742-3bc0467cf874,1656,,,3788772,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,66,England,768,['4ec90312-3762-4f1f-8649-ee796f11d197'],0,,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ec90312-3762-4f1f-8649-ee796f11d197,1657,,,3788772,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,66,England,768,['be7d1f9c-5b5a-4837-9742-3bc0467cf874'],0,,,,,,,,,,,,,,,Czech Republic,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,1.651356,,,,,,,,,,,,,c4a3558f-e273-4abf-9ec6-f36dcf37bfd8,5,,"[60.0, 40.0]",3788772,0,,,,,3.0697467,,Left Foot,,,"[33.6, 41.9]",,Ground Pass,26.468283,,,,Ondrej Celustka,,,,,,Kick Off,1,From Kick Off,Patrik Schick,7044.0,Center Forward,2,Czech Republic,912,['ff83e25d-3a19-4204-80a0-50d0d1ad07e1'],0,,,,,,,,,,,,,,,Czech Republic,00:00:00.338,Pass,,60.0,40.0,33.6,41.9,,,
,,,,,,,,,,,,,,,,,3.447488,,,,,,,,,,,,,0c216c8b-7d80-452a-a536-022b8dcfef51,8,,"[39.6, 40.7]",3788772,0,,,,,-0.4402026,,Right Foot,,,"[93.1, 15.5]",,High Pass,59.13789,,Incomplete,,Tomáš Souček,,,,,,,1,From Kick Off,Ondrej Celustka,30328.0,Right Center Back,2,Czech Republic,912,"['47b68aa6-9320-41aa-b0b7-fb72770bbdb8', 'f6491d8d-4c8a-417a-aeb0-498e90765bb2']",3,,,,,,,,,,,,,,,Czech Republic,00:00:03.175,Pass,,39.6,40.7,93.1,15.5,,,
,,,,,,,,,,,,,,,,,1.26184,,,,,,,,,,,,,45111d09-8c34-4e1d-b474-80fc890c143e,15,,"[28.4, 62.8]",3788772,0,,,,,-3.0928507,,Left Foot,,,"[16.1, 62.2]",,Ground Pass,12.314626,,,,Kyle Walker,,,,,,,1,Regular Play,Bukayo Saka,22084.0,Right Wing,3,England,768,"['11e79b08-2c10-4117-a1a8-f377d0551284', '2964c929-857a-422b-b45e-d8faa8e1707e']",9,,,,,,,,,,,,,,,England,00:00:09.324,Pass,True,28.4,62.8,16.1,62.2,,,
,,,,,,,,,,,,,,,,,2.050607,,,,,,,,,,,,,13719435-fba2-4f58-80f1-54a6869daa57,19,,"[15.5, 61.4]",3788772,0,,,,,-0.35335144,,Right Foot,,,"[54.0, 47.2]",,High Pass,41.03523,,,,Raheem Sterling,,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Back,3,England,768,"['2a6f1e1e-7ed0-41b1-8f2c-d8fffd9832a3', '514a6564-74c0-4d14-82a2-1e3dc99ebc70']",10,,,,,,,,,,,,,,,England,00:00:10.625,Pass,True,15.5,61.4,54.0,47.2,,,
,,,,,,,,,,,,,,,,,3.067275,,,,,,,,,,,,,f29208dc-6607-4a31-943e-7207d9c497b4,27,,"[71.5, 18.7]",3788772,0,,,,,-0.104876935,,Right Foot,,,"[101.9, 15.5]",,High Pass,30.567957,,Incomplete,,Patrik Schick,,,,,,,1,Regular Play,Jan Bořil,4875.0,Left Back,3,England,768,"['c7e6b1ef-e9b9-4a4d-b7bd-7513faf933fe', 'ec309a94-c255-4de4-b136-a6337e76c701']",16,,,,,,,,,,,,,,,Czech Republic,00:00:16.222,Pass,,71.5,18.7,101.9,15.5,,,
,,,,,,,,,,,,,,,,,1.645632,,,,,,,,,,,,,ec309a94-c255-4de4-b136-a6337e76c701,29,,"[18.2, 64.6]",3788772,0,,,,,-2.630842,,Head,,,"[6.6, 58.1]",,Low Pass,13.296992,,,,Jordan Pickford,,,,,,Recovery,1,Regular Play,Kyle Walker,3205.0,Right Back,3,England,768,"['5670c138-179b-424f-a6aa-ce9c2aaa7d83', 'f29208dc-6607-4a31-943e-7207d9c497b4']",19,,,,,,,,,,,,,,,England,00:00:19.289,Pass,,18.2,64.6,6.6,58.1,,,
,,,,,,,,,,,,,,,,,2.539172,,,,,,,,,,,,,24b53aa6-f6b2-4c3f-b9ec-cf2511ba13ff,32,,"[11.0, 44.2]",3788772,0,,,,,-0.87279665,,Keeper Arm,,,"[43.8, 5.1]",,High Pass,51.03577,,,,Luke Shaw,,,,,,,1,Regular Play,Jordan Pickford,3468.0,Goalkeeper,3,England,768,['288d682f-dc17-4794-9c8d-6efc676a6bfc'],23,,,,,,,,,,,,,,,England,00:00:23.585,Pass,,11.0,44.2,43.8,5.1,,,
,,,,,,,,,,,,,,,,,1.447643,,,,,,,,,,,,,589a2ade-dbbb-469c-8f01-33c2086ea31f,38,,"[57.6, 71.9]",3788772,0,,,,,-0.92488754,,Right Foot,,,"[72.6, 52.0]",,High Pass,24.920073,,Incomplete,,Patrik Schick,,,,,,Recovery,1,Regular Play,Vladimír Coufal,16570.0,Right Back,3,England,768,"['5a81363b-8c8e-4f2a-92eb-7b755db0a873', 'a7f5465b-ce83-4c89-9600-ddc03ebc57d2', 'cbe9136a-1957-4421-83aa-7137594f3dbd']",28,,,,,,,,,,,,,,,Czech Republic,00:00:28.668,Pass,True,57.6,71.9,72.6,52.0,,,
,,,,,,,,,,,,,,,,,2.083214,,,,,,,,,,,,,5a81363b-8c8e-4f2a-92eb-7b755db0a873,40,,"[47.5, 28.1]",3788772,0,,,,,-0.03978,,Head,,,"[67.6, 27.3]",,High Pass,20.115913,,Incomplete,,Harry Kane,,,,,,Recovery,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,3,England,768,"['589a2ade-dbbb-469c-8f01-33c2086ea31f', 'b7038c64-687d-4a55-b26c-dddb9a19bbd7', 'e74fa03f-b33a-49c2-aa39-09e84df29a5f']",30,,,,,,,,,,,,,,,England,00:00:30.116,Pass,,47.5,28.1,67.6,27.3,,,
