bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,257e9e48-b669-4fdf-9405-fc7b75da9127,1,,,3788773,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5206, 'name': 'Rúben Santos Gato Alves Dias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3593, 'name': 'Renato Júnior Luz Sanches'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 9929, 'name': 'Diogo José Teixeira da Silva'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Portugal,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6bd5a05c-224e-4767-97b6-4dba7047f60f,2,,,3788773,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4445, 'name': 'Jules Koundé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",France,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,86bed5d2-aea0-485e-8625-7492ac1fb7f5,3,,,3788773,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['2fd2f9c5-6a0a-43b5-9a23-c721f4cec876'],0,,,,,,,,,,,,,,,,,France,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2fd2f9c5-6a0a-43b5-9a23-c721f4cec876,4,,,3788773,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['86bed5d2-aea0-485e-8625-7492ac1fb7f5'],0,,,,,,,,,,,,,,,,,Portugal,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2a98b5b0-a5dd-46fb-ace4-f524af3b3cb7,2149,,,3788773,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,77,Portugal,780,['3dfe54b5-9f7a-4918-b9e3-8d40e8a65d2c'],0,,,,,,,,,,,,,,,,,Portugal,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3dfe54b5-9f7a-4918-b9e3-8d40e8a65d2c,2150,,,3788773,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,77,Portugal,780,['2a98b5b0-a5dd-46fb-ace4-f524af3b3cb7'],0,,,,,,,,,,,,,,,,,France,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.922465,,,,,,,,,,,,,,,,,9b9295e7-b155-4b81-9954-8ffc73ace714,5,,"[60.0, 40.0]",3788773,0,,,,,2.8250234,,Right Foot,,,"[48.4, 43.8]",,Ground Pass,,12.206555,,,Paul Pogba,,,,,Kick Off,1,From Kick Off,Karim Benzema,19677.0,Center Forward,2,France,771,['91642ecf-ccd4-4f95-b7d5-f69b9f912759'],0,,,,,,,,,,,,,,,,,France,00:00:00.281,Pass,,60.0,40.0,48.4,43.8,,,
,,,,,,,,,,,,,,,2.056181,,,,,,,,,,,,,,,,,a0e7e541-f56c-45ef-a9ed-541c62744fa1,8,,"[48.7, 34.5]",3788773,0,,,,,-1.7149507,,Right Foot,,,"[44.2, 3.5]",,Ground Pass,,31.324911,,,Lucas Hernández Pi,,,,,,1,From Kick Off,Paul Pogba,20004.0,Right Defensive Midfield,2,France,771,['0ee91d8c-ebc0-4859-914f-b43d95d25a42'],3,,,,,,,,,,,,,,,,,France,00:00:03.762,Pass,,48.7,34.5,44.2,3.5,,,
,,,,,,,,,,,,,,,1.559624,,,,,,,,,,,,,,,,,effd10f3-e2c9-4742-87f7-708d980aebea,10,,"[44.5, 4.9]",3788773,0,,,,,2.2845871,,Left Foot,,,"[33.5, 17.6]",,Ground Pass,,16.801489,,,Presnel Kimpembe,,,,,,1,From Kick Off,Lucas Hernández Pi,5484.0,Left Back,2,France,771,['7e3b6977-5e9a-4381-8fb2-8622882d8418'],5,,,,,,,,,,,,,,,,,France,00:00:05.818,Pass,,44.5,4.9,33.5,17.6,,,
,,,,,,,,,,,,,,,1.19761,,,,,,,,,,,,,,,,,d02e9ba6-c8c9-45b7-b6cb-609642028256,13,,"[33.4, 19.0]",3788773,0,,,,,0.9055069,,Left Foot,,,"[43.6, 32.0]",,Ground Pass,,16.523922,,,Paul Pogba,,,,,,1,From Kick Off,Presnel Kimpembe,2999.0,Left Center Back,2,France,771,['9240d6dd-83b0-499c-868b-b9bac24c3a1a'],9,,,,,,,,,,,,,,,,,France,00:00:09.335,Pass,,33.4,19.0,43.6,32.0,,,
