bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cd27d055-27d1-4e71-92e5-091bcf57a902,1,,,3788775,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovakia,908,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3711, 'name': 'Martin Dúbravka'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9722, 'name': 'Peter Pekarík'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 30397, 'name': 'Ľubomír Šatka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6990, 'name': 'Milan Škriniar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 4421, 'name': 'Tomáš Hubočan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 20002, 'name': 'Jakub Hromada'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 7975, 'name': 'Lukáš Haraslín'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 16307, 'name': 'Róbert Mak'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 8967, 'name': 'Ondrej Duda'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Slovakia,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2bf9c25f-23c2-42bb-b571-16bbb2571f2c,2,,,3788775,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovakia,908,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 31953, 'name': 'Eric García Martret'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Spain,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9b7b7e0e-b034-45df-a02b-b705ad138e0f,3,,,3788775,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovakia,908,['a924128a-f535-4ea1-9022-ad00d9c7e234'],0,,,,,,,,,,,,,,,,Slovakia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a924128a-f535-4ea1-9022-ad00d9c7e234,4,,,3788775,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovakia,908,['9b7b7e0e-b034-45df-a02b-b705ad138e0f'],0,,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,64340e15-f4af-4f77-94d2-d5f3eb3c0828,1664,,,3788775,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Spain,772,['bfa1e1af-cc79-45dc-b10f-4a83de4e66bc'],0,,,,,,,,,,,,,,,,Slovakia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bfa1e1af-cc79-45dc-b10f-4a83de4e66bc,1665,,,3788775,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Spain,772,['64340e15-f4af-4f77-94d2-d5f3eb3c0828'],0,,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,1.483618,,,,,,,,,,,,,,468a4d8a-2b07-4c53-86ba-d64620e917c1,5,,"[60.0, 40.0]",3788775,0,,,,,-2.7735176,,Right Foot,,,,"[37.7, 31.4]",,Ground Pass,,23.900837,,,,,Milan Škriniar,,,,,Kick Off,1,From Kick Off,Marek Hamšík,7025.0,Center Attacking Midfield,2,Slovakia,908,['8098fec2-80ab-4338-a884-7d212148b654'],0,,,,,,,,,,,,,,,,Slovakia,00:00:00.773,Pass,,60.0,40.0,37.7,31.4,,,
,,,,,,,,,,,,,,,3.267117,,,,,,,,,,,,,,08c78a78-96c3-4d02-a848-296f72688ed0,8,,"[39.8, 28.0]",3788775,0,,,,,0.70384866,,Right Foot,,,,"[84.8, 66.2]",,High Pass,,59.02745,,,Incomplete,,Ondrej Duda,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,"['0db5e431-710a-4d9a-8187-b3e7b9434bb3', '4e5c6893-dfb8-43b9-8df8-8f58818f2ba0']",4,,,,,,,,,,,,,,,,Slovakia,00:00:04.172,Pass,,39.8,28.0,84.8,66.2,,,
,,,,,,,,,,,,,,,1.081415,,,,,,,,,,,,,,df5d7b5a-f55c-4721-af0f-faf70c67fa48,12,,"[62.9, 59.8]",3788775,0,,,,,-0.54802394,,Head,,,,"[70.6, 55.1]",,High Pass,,9.021087,,,Incomplete,,Marek Hamšík,,,,,Recovery,1,From Kick Off,Ľubomír Šatka,30397.0,Right Center Back,2,Slovakia,908,"['1ab4aea9-87cf-4be3-8139-66af14fa2d71', '6a3a62a6-f15c-4de3-999d-cc9187b72a40']",10,,,,,,,,,,,,,,,,Slovakia,00:00:10.159,Pass,,62.9,59.8,70.6,55.1,,,
,,,,,,,,,,,,,,,1.440946,,,,,,,,,,,,,,6a3a62a6-f15c-4de3-999d-cc9187b72a40,14,,"[49.5, 25.0]",3788775,0,,,,,1.1744953,,Right Foot,,,,"[55.4, 39.1]",,Low Pass,,15.284633,,,,,Pablo Sarabia García,,,,,Interception,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,3,Spain,772,"['1d5a155c-8fb7-4558-b244-2e5b6f32eb26', 'df5d7b5a-f55c-4721-af0f-faf70c67fa48']",11,,,,,,,,,,,,,,,,Spain,00:00:11.241,Pass,,49.5,25.0,55.4,39.1,,,
