ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c7d3fc4c-94bc-4764-bb35-d9aa525c6e05,1,,,,3788776,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,,0,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5612, 'name': 'Mikael Lustig'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26875, 'name': 'Marcus Andreas Danielsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 23444, 'name': 'Kristoffer Olsson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8552, 'name': 'Robin Quaison'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 8819, 'name': 'Alexander Isak'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Sweden,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,71ce0505-6cbc-4edf-bec2-c2cd0a492dc5,2,,,,3788776,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,,0,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5673, 'name': 'Bartosz Bereszyński'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4673, 'name': 'Kamil Jóźwiak'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8737, 'name': 'Tymoteusz Puchacz'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 26}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 9622, 'name': 'Mateusz Andrzej Klich'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 8836, 'name': 'Karol Świderski'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Poland,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4e4d382f-021c-4200-ad92-e3a62845a53c,3,,,,3788776,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,['8dfcfea0-ab92-4b5f-9d7d-6a4a1ff4ed50'],0,,,,,,,,,,,,,,Sweden,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8dfcfea0-ab92-4b5f-9d7d-6a4a1ff4ed50,4,,,,3788776,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,['4e4d382f-021c-4200-ad92-e3a62845a53c'],0,,,,,,,,,,,,,,Poland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,037b5ce1-dfa8-427a-8e89-f3a2622b906c,1413,,,,3788776,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Sweden,790,['449d7376-3827-4510-8011-ba9e8359fc51'],0,,,,,,,,,,,,,,Sweden,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,449d7376-3827-4510-8011-ba9e8359fc51,1414,,,,3788776,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Sweden,790,['037b5ce1-dfa8-427a-8e89-f3a2622b906c'],0,,,,,,,,,,,,,,Poland,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,1.422263,,,,,,,,,,,,9e9ec22a-f1cf-4460-ba53-c786f7b05287,5,,,"[60.0, 40.0]",3788776,0,,,,,-3.129041,,Right Foot,,,,"[36.1, 39.7]",,Ground Pass,,23.901882,,,Victor Nilsson Lindelöf,,,,,Kick Off,1,From Kick Off,Sebastian Larsson,5617.0,Right Midfield,2,Sweden,790,['b3c8e55c-581c-4c68-b722-446903bbd574'],0,,,,,,,,,,,,,,Sweden,00:00:00.080,Pass,,60.0,40.0,36.1,39.7,,,
,,,,,,,,,,,,,,3.210068,,,,,,,,,,,,470d2435-f5a4-46f9-aa0c-af2ce5e92f31,8,,,"[36.8, 41.1]",3788776,0,,,,,1.1220729,,Left Foot,,,,"[49.8, 68.1]",,Ground Pass,,29.966648,,,Mikael Lustig,,,,,,1,From Kick Off,Victor Nilsson Lindelöf,3702.0,Right Center Back,2,Sweden,790,['e7e53c4b-6ee1-4f04-9a41-c4d3906d072e'],2,,,,,,,,,,,,,,Sweden,00:00:02.653,Pass,,36.8,41.1,49.8,68.1,,,
,,,,,,,,,,,,,,3.490111,,,,,,,,,,,,a3c476e1-a372-492d-bf5b-4ebe5a98d21c,10,,,"[49.8, 68.1]",3788776,0,,,,,-0.5829136,,Right Foot,,,,"[95.3, 38.1]",,High Pass,,54.5,Incomplete,,Robin Quaison,,,,,,1,From Kick Off,Mikael Lustig,5612.0,Right Back,2,Sweden,790,"['0e4c03d4-c0d4-41ec-8303-0280185aafca', '2b8824d2-8f34-436b-9bce-f8960a0f9cbf']",5,,,,,,,,,,,,,,Sweden,00:00:05.863,Pass,,49.8,68.1,95.3,38.1,,,
,,,,,,,,,,,,,,0.957248,,,,,,,,,,,,0e4c03d4-c0d4-41ec-8303-0280185aafca,13,,,"[24.8, 42.0]",3788776,0,,,,True,0.06807646,,,,,,"[33.6, 42.6]",,High Pass,,8.820431,,,Mateusz Andrzej Klich,,,,,Recovery,1,Regular Play,Kamil Glik,3034.0,Center Back,3,Poland,789,"['a3c476e1-a372-492d-bf5b-4ebe5a98d21c', 'b5a2b93f-eb72-493a-b058-5fd1b4fe8b26', 'baca1749-3f13-4fd4-8c1e-a84748f80a5d']",9,,,,,,,,,,,,,,Poland,00:00:09.353,Pass,True,24.8,42.0,33.6,42.6,,,
