50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0522da4d-230e-484f-86e4-71dc959819a3,1,,,,3794685,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 11514, 'name': 'Giovanni Di Lorenzo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 8286, 'name': 'Leonardo Spinazzola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8181, 'name': 'Nicolò Barella'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Italy,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f239eb4d-7a0e-4b9e-9308-79080321043d,2,,,,3794685,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 21532, 'name': 'Daniel Bachmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3969, 'name': 'Aleksandar Dragović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Austria,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8b8c2e3e-d2d0-4985-87b1-2074dceeaa54,3,,,,3794685,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,['d2c75d63-1a5b-4e13-8d2f-efb22b5ea587'],0,,,,,,,,,,,,,,,,Austria,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d2c75d63-1a5b-4e13-8d2f-efb22b5ea587,4,,,,3794685,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,['8b8c2e3e-d2d0-4985-87b1-2074dceeaa54'],0,,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed280edf-d325-4b88-a0ac-0859db091703,2150,,,,3794685,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Italy,914,['4fcc504b-580e-43b4-a172-163a8d446b97'],0,,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4fcc504b-580e-43b4-a172-163a8d446b97,2151,,,,3794685,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Italy,914,['ed280edf-d325-4b88-a0ac-0859db091703'],0,,,,,,,,,,,,,,,,Austria,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf567041-1260-4aa4-b646-7f8eceb178fa,3880,,,,3794685,90,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,184,Italy,914,['960f5e66-1ddf-4824-945d-1a668327e8ae'],0,,,,,,,,,,,,,,,,Austria,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,960f5e66-1ddf-4824-945d-1a668327e8ae,3881,,,,3794685,90,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,184,Italy,914,['cf567041-1260-4aa4-b646-7f8eceb178fa'],0,,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ffd514e4-97db-4bfa-b33d-f287c5f69952,4341,,,,3794685,105,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,,,,215,Austria,915,['8977f019-6fd3-41b4-b15b-475c27ba971f'],0,,,,,,,,,,,,,,,,Austria,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8977f019-6fd3-41b4-b15b-475c27ba971f,4342,,,,3794685,105,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,,,,215,Austria,915,['ffd514e4-97db-4bfa-b33d-f287c5f69952'],0,,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.847361,,,,,,,,,,,,,99a81794-a73e-41c5-b1aa-38c039bc8940,5,,,"[61.0, 40.1]",3794685,0,,,,2.893479,,Right Foot,,,"[53.5, 42.0]",,Ground Pass,,7.7369246,,,,,Florian Grillitsch,,,,,Kick Off,1,From Kick Off,Marcel Sabitzer,8518.0,Center Attacking Midfield,2,Austria,915,['1e86d499-1919-4842-813a-a3ef51f41437'],0,,,,,,,,,,,,,,,,Austria,00:00:00.897,Pass,,61.0,40.1,53.5,42.0,,,
,,,,,,,,,,,,,,,,,,1.315763,,,,,,,,,,,,,d4da0ffc-8965-4a2a-bc0c-046d16c310d8,8,,,"[52.8, 42.6]",3794685,0,,,,2.352273,,Right Foot,,,"[40.1, 55.4]",,Ground Pass,,18.03136,,,,,Aleksandar Dragović,,,,,,1,From Kick Off,Florian Grillitsch,11396.0,Left Defensive Midfield,2,Austria,915,['bcb9d36a-dd33-4706-aef3-8a4bed206ef2'],3,,,,,,,,,,,,,,,,Austria,00:00:03.308,Pass,,52.8,42.6,40.1,55.4,,,
,,,,,,,,,,,,,,,,,,2.051618,,,,,,,,,,,,,02c96a41-13f5-44fc-8823-661b096af86c,11,,,"[37.5, 60.5]",3794685,0,,,,-2.5738873,,Left Foot,,,"[11.0, 43.6]",,Ground Pass,,31.43024,,,,,Daniel Bachmann,,,,,,1,From Kick Off,Aleksandar Dragović,3969.0,Right Center Back,2,Austria,915,['96708466-1e3d-44f0-a3de-a9ad5dc35550'],5,,,,,,,,,,,,,,,,Austria,00:00:05.570,Pass,,37.5,60.5,11.0,43.6,,,
,,,,,,,,,,,,,,,,,,3.3237,,,,,,,,,,,,,09eb6e63-e15a-4a8a-ad41-52521e212a61,15,,,"[13.5, 39.2]",3794685,0,,,,-0.043044556,,Left Foot,,,"[66.9, 36.9]",,High Pass,,53.44951,,,Incomplete,,Marko Arnautović,,,,,,1,From Kick Off,Daniel Bachmann,21532.0,Goalkeeper,2,Austria,915,"['75893c00-b4c9-4a47-8ebd-1762c398d3d5', '82565f29-9889-406d-82dc-3a749bb8ac2d', 'a4db6ae9-a229-401f-919b-f49b40fb30e8']",10,,,,,,,,,,,,,,,,Austria,00:00:10.077,Pass,True,13.5,39.2,66.9,36.9,,,
,,,,,,,,,,,,,,,,,,0.996366,,,,,,,,,,,,,82565f29-9889-406d-82dc-3a749bb8ac2d,18,,,"[53.2, 43.2]",3794685,0,,,,0.63502675,,Other,,,"[57.0, 46.0]",,Low Pass,,4.7201695,,,,,Jorge Luiz Frello Filho,,,,,Recovery,1,Regular Play,Leonardo Bonucci,7173.0,Right Center Back,3,Italy,914,"['09eb6e63-e15a-4a8a-ad41-52521e212a61', '1e65a481-2a7a-4024-b960-3934458657b2', '9110cfaa-5f34-439e-ae48-1a69734471ac']",13,,,,,,,,,,,,,,,,Italy,00:00:13.400,Pass,True,53.2,43.2,57.0,46.0,,,
,,,,,,,,,,,,,,,,,,0.672432,,,,,,,,,,,,,97c283eb-e4b7-4a14-bc30-e177735b413b,21,,,"[57.0, 46.0]",3794685,0,,,,-0.27365932,,Right Foot,,,"[62.7, 44.4]",,Low Pass,,5.920304,,,,,Marco Verratti,,,,,,1,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,3,Italy,914,"['08a0b904-af83-40ec-8340-72d14db85b8f', '319dbd36-877e-4189-88d2-2ef7166fd00d']",14,,,,,,,,,,,,,,,,Italy,00:00:14.397,Pass,True,57.0,46.0,62.7,44.4,,,
,,,,,,,,,,,,,,,,,,1.122559,,,,,,,,,,,,,d2bf56eb-47ef-4132-ba86-e3be647ce740,27,,,"[56.2, 47.7]",3794685,0,,,,-0.2551824,,Right Foot,,,"[72.3, 43.5]",,Ground Pass,,16.63881,,,,,Ciro Immobile,,,,,Free Kick,1,From Free Kick,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,4,Italy,914,['ef6e7ace-2019-436d-b842-c327fcc1e5e9'],28,,,,,,,,,,,,,,,,Italy,00:00:28.386,Pass,,56.2,47.7,72.3,43.5,,,
,,,,,,,,,,,,,,,,,,2.265595,,,,,,,,,,,,,3ed1cdac-bed2-4b30-b785-850f5d790403,29,,,"[72.3, 43.5]",3794685,0,,,,-3.018924,,Right Foot,,,"[43.1, 39.9]",,Low Pass,,29.421082,,,,,Leonardo Bonucci,,,,,,1,From Free Kick,Ciro Immobile,7788.0,Center Forward,4,Italy,914,['870c0c37-600b-426a-b392-c2c951db7bdf'],29,,,,,,,,,,,,,,,,Italy,00:00:29.509,Pass,,72.3,43.5,43.1,39.9,,,
,,,,,,,,,,,,,,,,,,1.442061,,,,,,,,,,,,,7bc90d0d-4deb-4984-b745-0a79294b6a9f,32,,,"[44.5, 41.6]",3794685,0,,,,1.3854483,,Left Foot,,,"[47.5, 57.6]",,Ground Pass,,16.27882,,,,,Giovanni Di Lorenzo,,,,,,1,From Free Kick,Leonardo Bonucci,7173.0,Right Center Back,4,Italy,914,['d5e31d84-0729-4f97-a079-00967cfc38bb'],33,,,,,,,,,,,,,,,,Italy,00:00:33.433,Pass,,44.5,41.6,47.5,57.6,,,
,,,,,,,,,,,,,,,,,,0.836732,,,,,,,,,,,,,bc77b28b-9540-4d66-be06-4d6bd696f9fa,45,,,"[70.8, 11.5]",3794685,0,,,,-0.4128439,,Right Foot,,,"[82.9, 6.2]",,Ground Pass,,13.209845,,,,,David Olatukunbo Alaba,,,,,,1,Regular Play,Marko Arnautović,3325.0,Center Forward,5,Austria,915,['4c34afe6-3773-4e85-9548-9dfcf32504bb'],44,,,,,,,,,,,,,,,,Austria,00:00:44.623,Pass,,70.8,11.5,82.9,6.2,,,
,,,,,,,,,,,,,,,,,,1.231797,,,,,,,,,,,,,dbc81b2d-8565-408c-97c2-79f5a20f9dd0,48,,,"[83.2, 6.2]",3794685,0,,,,1.1045033,,Left Foot,,,"[90.8, 21.3]",,Ground Pass,,16.904734,,,,,Marcel Sabitzer,,,,,,1,Regular Play,David Olatukunbo Alaba,8220.0,Left Back,5,Austria,915,['aa0295ee-b2d9-4852-81c2-13a1ad3929f8'],46,,,,,,,,,,,,,,,,Austria,00:00:46.008,Pass,,83.2,6.2,90.8,21.3,,,
,,,,,,,,,,,,,,,,,,1.773139,,,,,,,,,,,,,dd8351ec-fb08-43b6-bec5-a6ce53613f6d,51,,,"[90.8, 21.3]",3794685,0,,,,-0.5548452,,Right Foot,,,"[110.0, 9.4]",,Ground Pass,,22.588715,,,,,Christoph Baumgartner,,,,,,1,Regular Play,Marcel Sabitzer,8518.0,Center Attacking Midfield,5,Austria,915,['15707de7-094a-4654-ae29-e4e78d4abbda'],47,,,,,,,,,,,,,,,,Austria,00:00:47.696,Pass,,90.8,21.3,110.0,9.4,,,
,,,,,,,,,,,,,,,,,,0.533064,,,,,,,,,,,,,925c36e0-349f-44e7-af6b-6e8c66022485,54,,,"[110.6, 18.2]",3794685,0,,,,1.5707964,,Right Foot,True,,"[110.6, 31.4]",,Ground Pass,,13.2,,,,,Marcel Sabitzer,,,,,,1,Regular Play,Christoph Baumgartner,24977.0,Left Wing,5,Austria,915,['2f3d5ea0-12e7-48a2-ab5f-dcad76bb9cef'],54,,,,,,,,,,,,,,,,Austria,00:00:54.083,Pass,,110.6,18.2,110.6,31.4,,,
,,,,,,,,,,,,,,,,,,0.308689,,,,,,,,,,,,,9adac0df-3abf-45fb-a0e0-77e833fafa19,56,,,"[110.6, 31.4]",3794685,0,,,,1.5877439,,Left Foot,,,"[110.5, 37.3]",,Low Pass,,5.9008474,,,,,Konrad Laimer,,,,,,1,Regular Play,Marcel Sabitzer,8518.0,Center Attacking Midfield,5,Austria,915,['c2ee75aa-5c4d-458e-8f01-bde034461c61'],54,,,,,,,,,,,,,,,,Austria,00:00:54.616,Pass,,110.6,31.4,110.5,37.3,,,
,,,,,,,,,,,,,,,,,,1.685884,,,,,,,,,,,,,7ac3df3a-0fcf-4186-a74a-01f231601bf1,64,,,"[19.7, 51.4]",3794685,1,,,,1.0347133,,Left Foot,,,"[29.8, 68.4]",,Ground Pass,,19.773973,,,,,Giovanni Di Lorenzo,,,,,Free Kick,1,From Free Kick,Leonardo Bonucci,7173.0,Right Center Back,6,Italy,914,['d592a604-4eda-4155-b5ff-697215600dec'],43,,,,,,,,,,,,,,,,Italy,00:01:43.569,Pass,,19.7,51.4,29.8,68.4,,,
