bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2c47659e-aef2-47ff-b5ac-ff3d1656e56f,1,,,,3794686,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 16531, 'name': 'Dominik Livaković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 29163, 'name': 'Josip Juranović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 6307, 'name': 'Duje Ćaleta-Car'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 33018, 'name': 'Joško Gvardiol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3441, 'name': 'Nikola Vlašić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 13}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 7693, 'name': 'Bruno Petković'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Croatia,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,011f7b97-6f2d-4183-967d-5902dae2aef2,2,,,,3794686,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 31953, 'name': 'Eric García Martret'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 6748, 'name': 'Ferrán Torres García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Spain,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1cb9e5c5-548a-495e-bbf6-607e520a6b97,3,,,,3794686,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['1450b6fb-d366-4451-b08c-010f14b81abc'],0,,,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1450b6fb-d366-4451-b08c-010f14b81abc,4,,,,3794686,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['1cb9e5c5-548a-495e-bbf6-607e520a6b97'],0,,,,,,,,,,,,,,,,,Croatia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8eb50077-b143-4ea9-bdd7-c24096f6e959,1855,,,,3794686,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Spain,772,['261d1af6-edcc-48c2-bea3-9764dffa464d'],0,,,,,,,,,,,,,,,,,Croatia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,261d1af6-edcc-48c2-bea3-9764dffa464d,1856,,,,3794686,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,88,Spain,772,['8eb50077-b143-4ea9-bdd7-c24096f6e959'],0,,,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd0662ea-9d64-4106-ad51-2696a97af38f,3507,,,,3794686,90,,,,,,,,,,,,,,,,,,,,,,,3,From Goal Kick,,,,190,Croatia,785,['453ff121-90fd-4ebf-aeb3-a57beba6b4f8'],0,,,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,453ff121-90fd-4ebf-aeb3-a57beba6b4f8,3508,,,,3794686,90,,,,,,,,,,,,,,,,,,,,,,,3,From Goal Kick,,,,190,Croatia,785,['dd0662ea-9d64-4106-ad51-2696a97af38f'],0,,,,,,,,,,,,,,,,,Croatia,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,58da9898-c3b5-4b6b-b373-ae6295fb7a88,4111,,,,3794686,105,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,,,,219,Spain,772,['9cd43f74-8c5a-4112-b4b5-93faeeacd175'],0,,,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9cd43f74-8c5a-4112-b4b5-93faeeacd175,4112,,,,3794686,105,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,,,,219,Spain,772,['58da9898-c3b5-4b6b-b373-ae6295fb7a88'],0,,,,,,,,,,,,,,,,,Croatia,00:00:00.000,Half Start,,,,,,,,
