50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d815b65-3239-4f05-abd4-1effae2a12b8,1,,,,3794687,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 15}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 2954, 'name': 'Youri Tielemans'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Belgium,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5877aa0f-99c0-44fc-b08e-abf39110f022,2,,,,3794687,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16028, 'name': 'José Diogo Dalot Teixeira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5206, 'name': 'Rúben Santos Gato Alves Dias'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 12169, 'name': 'João Maria Lobo Alves Palhinha Gonçalves'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3593, 'name': 'Renato Júnior Luz Sanches'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 9929, 'name': 'Diogo José Teixeira da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Portugal,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,950bf8a5-a0d2-4c3e-afaf-51e53e0d8eb1,3,,,,3794687,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['5c33b11a-7809-4ef2-999d-6379cccf62b6'],0,,,,,,,,,,,,,,,Belgium,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5c33b11a-7809-4ef2-999d-6379cccf62b6,4,,,,3794687,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['950bf8a5-a0d2-4c3e-afaf-51e53e0d8eb1'],0,,,,,,,,,,,,,,,Portugal,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9ecd4513-c590-4fcb-83a8-d057be638dcd,1985,,,,3794687,45,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,66,Belgium,782,['97a23fb8-f091-4b82-81b8-c3b7793364ba'],0,,,,,,,,,,,,,,,Portugal,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,97a23fb8-f091-4b82-81b8-c3b7793364ba,1986,,,,3794687,45,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,66,Belgium,782,['9ecd4513-c590-4fcb-83a8-d057be638dcd'],0,,,,,,,,,,,,,,,Belgium,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.659653,,,,,,,,,,,,,fd581a2d-08ea-4419-9111-fc654190c000,5,,,"[60.0, 40.0]",3794687,0,,,,-2.8488796,,Right Foot,,,,"[52.7, 37.8]",,Ground Pass,7.6243033,,,Axel Witsel,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Belgium,782,['2a6b5090-a4d6-40a5-ac8f-8e03e25cf9bd'],0,,,,,,,,,,,,,,,Belgium,00:00:00.840,Pass,,60.0,40.0,52.7,37.8,,,
,,,,,,,,,,,,,,,,,,2.15061,,,,,,,,,,,,,e8cdfeeb-5e56-4119-a664-8d22a617ec74,8,,,"[52.9, 37.2]",3794687,0,,,,-2.378413,,Right Foot,,,,"[34.5, 19.6]",,Ground Pass,25.46213,,,Jan Vertonghen,,,,,,1,From Kick Off,Axel Witsel,5642.0,Left Defensive Midfield,2,Belgium,782,['4bdfb97a-f086-419b-8aed-e612ce74bf5a'],2,,,,,,,,,,,,,,,Belgium,00:00:02.170,Pass,,52.9,37.2,34.5,19.6,,,
,,,,,,,,,,,,,,,,,,1.004383,,,,,,,,,,,,,14f5dcd5-01db-445d-8bb1-9168511d126c,11,,,"[33.9, 21.5]",3794687,0,,,,2.3228736,,Left Foot,,,,"[28.1, 27.7]",,Ground Pass,8.489994,,,Thomas Vermaelen,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Belgium,782,['84857b0c-6831-4a33-aad6-926a58bb7028'],4,,,,,,,,,,,,,,,Belgium,00:00:04.868,Pass,,33.9,21.5,28.1,27.7,,,
,,,,,,,,,,,,,,,,,,1.445999,,,,,,,,,,,,,4550b341-1987-4850-be32-c52e60be79a6,14,,,"[28.1, 27.7]",3794687,0,,,,-1.4786212,,Left Foot,,,,"[29.2, 15.8]",,Ground Pass,11.950732,,,Jan Vertonghen,,,,,,1,From Kick Off,Thomas Vermaelen,6332.0,Center Back,2,Belgium,782,['f8cc3676-4d5b-45fc-b4d4-2a5a0fb28808'],6,,,,,,,,,,,,,,,Belgium,00:00:06.768,Pass,,28.1,27.7,29.2,15.8,,,
