50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,01896fd2-6f2b-40f0-8243-bdf92ae97394,1,,,3794688,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 4706, 'name': 'Kalvin Phillips'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,359ba603-3336-488b-9cc8-c28cc793d197,2,,,3794688,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 6}, {'player': {'id': 6985, 'name': 'Robin Gosens'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8966, 'name': 'Kai Havertz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Germany,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,180defd1-ab43-4b31-9d77-6ff5170a2bd4,3,,,3794688,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['87233b72-4993-4dfb-97ad-98efc47295fe'],0,,,,,,,,,,,,,,,,Germany,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,87233b72-4993-4dfb-97ad-98efc47295fe,4,,,3794688,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['180defd1-ab43-4b31-9d77-6ff5170a2bd4'],0,,,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f51aaeac-44e9-4d04-b478-4bd7de4b9ae3,1815,,,3794688,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,112,Germany,770,['00674965-6e84-4b6b-a2e0-a06109c30def'],0,,,,,,,,,,,,,,,,Germany,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,00674965-6e84-4b6b-a2e0-a06109c30def,1816,,,3794688,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,112,Germany,770,['f51aaeac-44e9-4d04-b478-4bd7de4b9ae3'],0,,,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,1.47309,,,,,,,,,,,60cf1447-85af-4562-85a2-6705c59c29c0,5,,"[60.0, 40.0]",3794688,0,,,,,-2.7724638,,Right Foot,,,,"[46.3, 34.7]",,Ground Pass,,14.689452,,,,,Toni Kroos,,,,,Kick Off,1,From Kick Off,Timo Werner,5557.0,Center Forward,2,Germany,770,['12fa233b-46de-424f-96e2-925f4222e728'],0,,,,,,,,,,,,,,,,Germany,00:00:00.543,Pass,,60.0,40.0,46.3,34.7,,,
,,,,,,,,,,,,,,,,0.644476,,,,,,,,,,,25cf133f-169d-4db3-88a0-bc5b78ca2eb5,7,,"[46.3, 34.9]",3794688,0,,,,,1.6068168,,Right Foot,,,,"[45.9, 46.0]",,Ground Pass,,11.107204,,,,,Leon Goretzka,,,,,,1,From Kick Off,Toni Kroos,5574.0,Right Defensive Midfield,2,Germany,770,['b9e20a42-76e2-45da-9a7e-b518816f736e'],2,,,,,,,,,,,,,,,,Germany,00:00:02.016,Pass,,46.3,34.9,45.9,46.0,,,
,,,,,,,,,,,,,,,,0.982507,,,,,,,,,,,5d89b3f8-44b4-41bf-8706-a88ece7070b7,9,,"[46.5, 45.6]",3794688,0,,,,,-2.5123594,,Right Foot,,,,"[32.9, 35.7]",,Ground Pass,,16.821712,,,,,Mats Hummels,,,,,,1,From Kick Off,Leon Goretzka,6324.0,Left Defensive Midfield,2,Germany,770,['63000cd2-8e70-43e2-bbd4-e9eb9f7ca540'],2,,,,,,,,,,,,,,,,Germany,00:00:02.660,Pass,,46.5,45.6,32.9,35.7,,,
,,,,,,,,,,,,,,,,2.093212,,,,,,,,,,,f0289675-fa0a-48f8-810c-8ba5b43306de,12,,"[30.0, 36.1]",3794688,0,,,,,1.1963848,,Right Foot,,,,"[45.6, 75.8]",,High Pass,,42.65501,,,,,Joshua Kimmich,,,,,,1,From Kick Off,Mats Hummels,5572.0,Center Back,2,Germany,770,['180d2c4e-e6f0-46f6-94b8-24270e57a529'],4,,,,,,,,,,,,,,,,Germany,00:00:04.816,Pass,,30.0,36.1,45.6,75.8,,,
,,,,,,,,,,,,,,,,4.729553,,,,,,,,,,,fb41b426-4928-44eb-afc3-e8b31a28c918,15,,"[42.2, 70.8]",3794688,0,,,,,-0.4337281,,Left Foot,,,,"[104.6, 41.9]",,High Pass,,68.76751,,,Incomplete,,Timo Werner,,,,,,1,From Kick Off,Joshua Kimmich,5579.0,Right Wing Back,2,Germany,770,"['10a4380f-7fd2-49a8-8b4d-67a04cab15dc', '565754f6-08c2-4c59-8cf0-4c65fdbc30bc']",8,,,,,,,,,,,,,,,,Germany,00:00:08.967,Pass,,42.2,70.8,104.6,41.9,,,
,,,,,,,,,,,,,,,,1.274414,,,,,,,,,,,2c18b0d3-a4ed-4e8e-bfb6-77ec970822fe,19,,"[14.1, 40.2]",3794688,0,,,,,0.92510706,,Keeper Arm,,,,"[25.1, 54.8]",,Ground Pass,,18.280045,,,,,Kyle Walker,,,,,,1,Regular Play,Jordan Pickford,3468.0,Goalkeeper,3,England,768,['e7172086-dd3b-48dd-909f-3269fc6ceb9c'],14,,,,,,,,,,,,,,,,England,00:00:14.887,Pass,,14.1,40.2,25.1,54.8,,,
,,,,,,,,,,,,,,,,1.015048,,,,,,,,,,,1fa7d3ad-48ed-4742-9653-9614eef0697c,22,,"[26.9, 57.0]",3794688,0,,,,,-1.6539376,,Right Foot,,,,"[26.2, 48.6]",,Ground Pass,,8.429116,,,,,John Stones,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Center Back,3,England,768,['8bab4311-adeb-414d-a932-b117f86f292f'],17,,,,,,,,,,,,,,,,England,00:00:17.229,Pass,,26.9,57.0,26.2,48.6,,,
,,,,,,,,,,,,,,,,2.695708,,,,,,,,,,,3a6657ff-285b-493e-910f-68e0332d722d,25,,"[29.5, 47.6]",3794688,0,,,,,-1.2850833,,Right Foot,,,,"[38.9, 15.6]",,Ground Pass,,33.352062,,,,,Harry Maguire,,,,,,1,Regular Play,John Stones,3244.0,Center Back,3,England,768,['eda4c25d-a66a-4b49-be9c-fbfcc5802a32'],19,,,,,,,,,,,,,,,,England,00:00:19.345,Pass,,29.5,47.6,38.9,15.6,,,
,,,,,,,,,,,,,,,,1.105891,,,,,,,,,,,b3ec050f-a445-405a-a719-b0aa4b156250,28,,"[44.1, 15.6]",3794688,0,,,,,-0.262785,,Right Foot,,,,"[61.2, 11.0]",,Ground Pass,,17.707909,,,,,Raheem Sterling,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,['cbfae5cb-2a9a-4e90-bf50-c1276b23acbf'],24,,,,,,,,,,,,,,,,England,00:00:24.060,Pass,,44.1,15.6,61.2,11.0,,,
,,,,,,,,,,,,,,,,1.647938,,,,,,,,,,,4599766c-05e2-47c5-a001-c08ea6236f72,31,,"[59.0, 11.5]",3794688,0,,,,,2.9510746,,Right Foot,,,,"[45.0, 14.2]",,Ground Pass,,14.25798,,,,,Harry Maguire,,,,,,1,Regular Play,Raheem Sterling,3233.0,Left Wing,3,England,768,['8ad2c886-7285-4122-ab86-dc3928fe56f7'],25,,,,,,,,,,,,,,,,England,00:00:25.873,Pass,,59.0,11.5,45.0,14.2,,,
,,,,,,,,,,,,,,,,4.180719,,,,,,,,,,,2dd215d0-cdec-4c3c-a07a-727999a83e3a,34,,"[46.0, 17.9]",3794688,0,,,,,0.07399258,,Right Foot,,,,"[114.8, 23.0]",,High Pass,,68.98877,,,Incomplete,,Luke Shaw,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,"['4f43a549-a52b-4978-882d-1ff8f2166695', 'be068dca-bf37-4389-bd2a-be895255ba04']",29,,,,,,,,,,,,,,,,England,00:00:29.696,Pass,,46.0,17.9,114.8,23.0,,,
,,,,,,,,,,,,,,,,2.464417,,,,,,,,,,,05fc073b-0c4f-432a-bb63-4e4109be48b9,38,,"[16.6, 47.7]",3794688,0,,,,,0.7606682,,Keeper Arm,,,,"[45.6, 75.3]",,High Pass,,40.034485,,,,,Joshua Kimmich,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,4,Germany,770,['ef0b524b-0d34-4016-a27a-9f78e31fb42a'],43,,,,,,,,,,,,,,,,Germany,00:00:43.842,Pass,,16.6,47.7,45.6,75.3,,,
,,,,,,,,,,,,,,,,1.455889,,,,,,,,,,,b6148f69-d6a5-402c-9e24-ccf740bd0898,42,,"[41.4, 74.9]",3794688,0,,,,,-2.9185164,,Left Foot,,,,"[19.8, 70.0]",,Ground Pass,,22.148815,,,,,Matthias Ginter,,,,,,1,Regular Play,Joshua Kimmich,5579.0,Right Wing Back,4,Germany,770,"['7ff6994f-d5fa-4fbc-a42a-c6713d391db0', 'fcc95432-03cc-47e9-add0-23b5a023d5af']",47,,,,,,,,,,,,,,,,Germany,00:00:47.948,Pass,True,41.4,74.9,19.8,70.0,,,
