50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e4fc7697-e3d5-4f48-9f03-2109a332e05a,1,,,,3794689,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 9914, 'name': 'Danny Ward'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 4774, 'name': 'Connor Roberts'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 4767, 'name': 'Chris Mepham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 11250, 'name': 'Joe Rodon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 22074, 'name': 'Joseff Morrell'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 11252, 'name': 'Daniel James'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 3853, 'name': 'Kieffer Roberto Francisco Moore'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Wales,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f5dd0e45-e384-40a4-8c92-3bc5874eaa5e,2,,,,3794689,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5524, 'name': 'Jens Stryger Larsen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 15}, {'player': {'id': 16554, 'name': 'Joakim Mæhle'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5527, 'name': 'Thomas Delaney'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 24443, 'name': 'Mikkel Damsgaard'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 6302, 'name': 'Kasper Dolberg'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Denmark,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,121f6d9a-6e60-4987-9000-b40c1d9391bb,3,,,,3794689,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,['a2d1edbb-e56f-454d-963c-4943e5f21f99'],0,,,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a2d1edbb-e56f-454d-963c-4943e5f21f99,4,,,,3794689,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wales,907,['121f6d9a-6e60-4987-9000-b40c1d9391bb'],0,,,,,,,,,,,,,,,,,Wales,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4177a985-c9e4-4312-96f2-4a013c8fe1d0,1561,,,,3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,77,Wales,907,['0e3236d4-5a71-4282-96f6-863ee7ba05d5'],0,,,,,,,,,,,,,,,,,Wales,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0e3236d4-5a71-4282-96f6-863ee7ba05d5,1562,,,,3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,77,Wales,907,['4177a985-c9e4-4312-96f2-4a013c8fe1d0'],0,,,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,1.861704,,,,,,,,,,,2163ab90-91a5-43d9-82b7-43b7e67a0b5c,5,,,"[60.0, 40.0]",3794689,0,,,,,3.0320013,,Right Foot,,,,"[29.1, 43.4]",,Ground Pass,,31.086493,,,,Chris Mepham,,,,,,Kick Off,1,From Kick Off,Aaron Ramsey,3517.0,Center Attacking Midfield,2,Wales,907,['162ac7ff-33cb-421f-a094-99ca4a702943'],0,,,,,,,,,,,,,,,,,Wales,00:00:00.685,Pass,,60.0,40.0,29.1,43.4,,,
,,,,,,,,,,,,,,,3.044598,,,,,,,,,,,217b8305-b103-4ea1-9ae7-c4dc51130d24,8,,,"[29.5, 43.4]",3794689,0,,,,,-0.60584986,,Right Foot,,,,"[80.6, 8.0]",,High Pass,,62.16406,,,,Kieffer Roberto Francisco Moore,,,,,,,1,From Kick Off,Chris Mepham,4767.0,Right Center Back,2,Wales,907,['b697a161-0fb5-4aae-8bd6-fcd578a52785'],3,,,,,,,,,,,,,,,,,Wales,00:00:03.949,Pass,,29.5,43.4,80.6,8.0,,,
,,,,,,,,,,,,,,,1.316036,,,,,,,,,,,4413a2e5-19d1-48ff-8b65-cba133d815b6,10,,,"[80.6, 8.0]",3794689,0,,,,True,0.7628456,,,,,,"[94.2, 21.0]",,High Pass,,18.813826,,Incomplete,,Aaron Ramsey,,,,,,,1,From Kick Off,Kieffer Roberto Francisco Moore,3853.0,Center Forward,2,Wales,907,"['590f7d9f-8a7f-43c7-97ee-13fd29b6e049', '8c8f4936-fb4c-4c40-b633-35ee524c0cd9', '8d17dc53-d151-404e-8cc8-8da710c23361']",6,,,,,,,,,,,,,,,,,Wales,00:00:06.994,Pass,True,80.6,8.0,94.2,21.0,,,
,,,,,,,,,,,,,,,0.298199,,,,,,,,,,,0d7ccdee-0627-4a11-b8d7-7e39b65dcd58,19,,,"[56.9, 69.0]",3794689,0,,,,,2.1421337,,Right Foot,,,,"[55.1, 71.8]",,Ground Pass,,3.3286633,,Incomplete,,Martin Braithwaite Christensen,,,,,,,1,Regular Play,Kasper Dolberg,6302.0,Center Forward,3,Denmark,776,"['334e590c-9d63-4360-991e-e0bd58be0d70', 'ae6e855a-6a85-4d9f-9a62-8ed745897454', 'b9fd78de-6b2f-4ba9-8815-2960e0d5ed1d', 'c83ea9a6-cc02-4083-aabf-42e829f2fb27']",11,,,,,,,,,,,,,,,,,Denmark,00:00:11.488,Pass,True,56.9,69.0,55.1,71.8,,,
