50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1897ba51-daf6-4f5f-93f9-07f8b4a1eb7c,1,,,,3794690,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8069, 'name': 'Matthijs de Ligt'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15582, 'name': 'Donyell Malen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Netherlands,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a844d945-1500-4819-81c7-8db6dce96e16,2,,,,3794690,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 30328, 'name': 'Ondrej Celustka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 13197, 'name': 'Tomáš Kalas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 16469, 'name': 'Tomáš Holeš'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 9}, {'player': {'id': 16472, 'name': 'Lukáš Masopust'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 7801, 'name': 'Antonín Barák'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 23454, 'name': 'Petr Ševčík'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Czech Republic,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3402b99c-d8ad-4c05-a813-2d5a9e25ffb1,3,,,,3794690,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['5fc9e2df-cc54-40a1-a239-cad21c105745'],0,,,,,,,,,,,,,,,,,Czech Republic,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5fc9e2df-cc54-40a1-a239-cad21c105745,4,,,,3794690,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['3402b99c-d8ad-4c05-a813-2d5a9e25ffb1'],0,,,,,,,,,,,,,,,,,Netherlands,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,97853979-e381-436f-985e-626165dbbbba,1666,,,,3794690,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,82,Czech Republic,912,['0132a4e3-9d99-4381-ad76-fbdcaa9f54bc'],0,,,,,,,,,,,,,,,,,Netherlands,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0132a4e3-9d99-4381-ad76-fbdcaa9f54bc,1667,,,,3794690,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,82,Czech Republic,912,['97853979-e381-436f-985e-626165dbbbba'],0,,,,,,,,,,,,,,,,,Czech Republic,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,1.659314,,,,,,,,,,,,,b9685610-63b8-4101-b81d-349b82c1f058,5,,,"[60.0, 40.0]",3794690,0,,,,-2.6375453,,Left Foot,,,"[37.7, 27.7]",,Ground Pass,,25.467234,,,,Tomáš Kalas,,,,,Kick Off,1,From Kick Off,Patrik Schick,7044.0,Center Forward,2,Czech Republic,912,['ba5668f9-3b2f-4732-a2d1-39b4d9bb9e68'],0,,,,,,,,,,,,,,,,,Czech Republic,00:00:00.765,Pass,,60.0,40.0,37.7,27.7,,,
,,,,,,,,,,,,,,,,,2.870405,,,,,,,,,,,,,3446dcad-6ead-4ee0-8412-3eb67fdb3d59,8,,,"[38.5, 28.4]",3794690,0,,,,0.42856118,,Right Foot,,,"[93.0, 53.3]",,High Pass,,59.918777,,Incomplete,,Patrik Schick,,,,,,1,From Kick Off,Tomáš Kalas,13197.0,Left Center Back,2,Czech Republic,912,"['e70a8e8a-ac4a-4202-92f9-67178d73633b', 'e9826f92-4f7e-41e2-8826-2dc66a9ec2ca']",3,,,,,,,,,,,,,,,,,Czech Republic,00:00:03.353,Pass,,38.5,28.4,93.0,53.3,,,
,,,,,,,,,,,,,,,,,1.557076,,,,,,,,,,,,,c0a004ab-d907-4eaf-8422-8e046cb55905,11,,,"[68.1, 55.6]",3794690,0,,,True,-0.11460353,,,,,"[82.0, 54.0]",,High Pass,,13.991783,,Incomplete,,Patrik Schick,,,,,Recovery,1,From Kick Off,Vladimír Coufal,16570.0,Right Back,2,Czech Republic,912,"['0f073735-0aa0-4f93-9ffa-1c89539a17a0', '3cca563b-2b5a-406e-aa72-02a7ce58c851', 'c198cbfd-4ba1-4b8e-8b07-e237029b959e']",8,,,,,,,,,,,,,,,,,Czech Republic,00:00:08.271,Pass,True,68.1,55.6,82.0,54.0,,,
,,,,,,,,,,,,,,,,,1.58908,,,,,,,,,,,,,c198cbfd-4ba1-4b8e-8b07-e237029b959e,14,,,"[38.1, 26.1]",3794690,0,,,,-1.4065437,,Head,,,"[41.1, 8.0]",,Low Pass,,18.346935,,,,Patrick van Aanholt,,,,,Recovery,1,Regular Play,Marten de Roon,6994.0,Right Defensive Midfield,3,Netherlands,941,"['30989b34-8b87-43d5-b8f0-bbb4f546a12e', 'c0a004ab-d907-4eaf-8422-8e046cb55905']",9,,,,,,,,,,,,,,,,,Netherlands,00:00:09.828,Pass,,38.1,26.1,41.1,8.0,,,
