50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9cb0ab23-e828-4636-bd41-03f827e965d9,1,,,3795107,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 15}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 2954, 'name': 'Youri Tielemans'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 23650, 'name': 'Jeremy Doku'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Belgium,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,da144c9b-35c5-4d6c-bbcc-ff86d80ab29b,2,,,3795107,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 11514, 'name': 'Giovanni Di Lorenzo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8286, 'name': 'Leonardo Spinazzola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8181, 'name': 'Nicolò Barella'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7156, 'name': 'Federico Chiesa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Italy,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b25af34a-511f-4b20-880d-b0e3fc9b3892,3,,,3795107,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['ee6a40f8-4650-4b6a-99b6-59de712d556b'],0,,,,,,,,,,,,,,,,Belgium,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ee6a40f8-4650-4b6a-99b6-59de712d556b,4,,,3795107,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['b25af34a-511f-4b20-880d-b0e3fc9b3892'],0,,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0c0535c7-48c2-4b1d-b991-b48adcc9a7ab,1897,,,3795107,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,77,Italy,914,['f3173b12-1119-4e80-a137-e4e68617f4de'],0,,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f3173b12-1119-4e80-a137-e4e68617f4de,1898,,,3795107,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,77,Italy,914,['0c0535c7-48c2-4b1d-b991-b48adcc9a7ab'],0,,,,,,,,,,,,,,,,Belgium,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.75632,,,,,,,,,,,,,,474c5607-72d6-4d59-889f-5724d4698f48,5,,"[60.0, 40.0]",3795107,0,,,,,-2.5737486,,Right Foot,,,,"[54.2, 36.3]",,Ground Pass,,6.87968,,,Axel Witsel,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Belgium,782,['8b86747e-8a9b-4fdc-853b-81c4226a61ad'],1,,,,,,,,,,,,,,,,Belgium,00:00:01.215,Pass,,60.0,40.0,54.2,36.3,,,
,,,,,,,,,,,,,,,,,,1.359038,,,,,,,,,,,,,,d321c735-f50a-47ce-bcb5-3e28a48e6e09,8,,"[51.4, 33.7]",3795107,0,,,,,-2.3890185,,Right Foot,,,,"[34.1, 17.5]",,Ground Pass,,23.700844,,,Jan Vertonghen,,,,,,1,From Kick Off,Axel Witsel,5642.0,Left Defensive Midfield,2,Belgium,782,['655fe363-2574-455e-8e8d-1bdd88964f28'],2,,,,,,,,,,,,,,,,Belgium,00:00:02.701,Pass,,51.4,33.7,34.1,17.5,,,
,,,,,,,,,,,,,,,,,,0.764547,,,,,,,,,,,,,,fd8d65e7-7de3-4f16-afd7-0a4c0753d85f,11,,"[33.0, 14.7]",3795107,0,,,,,-1.0170146,,Left Foot,,,,"[41.1, 1.6]",,Ground Pass,,15.401948,,,Thorgan Hazard,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Belgium,782,['234e3392-be8e-4a32-90f2-55e96c5a3d2a'],6,,,,,,,,,,,,,,,,Belgium,00:00:06.245,Pass,,33.0,14.7,41.1,1.6,,,
,,,,,,,,,,,,,,,,,,2.792461,,,,,,,,,,,,,,f1e43150-715d-4fe6-9230-5e83cf6f0f75,15,,"[37.1, 2.3]",3795107,0,,,,,2.407559,,Right Foot,,,,"[5.4, 30.9]",,Ground Pass,,42.694847,,,Thibaut Courtois,,,,,,1,From Kick Off,Thorgan Hazard,5632.0,Left Wing Back,2,Belgium,782,['23b68dbf-295e-4487-965b-948e78c339db'],8,,,,,,,,,,,,,,,,Belgium,00:00:08.105,Pass,,37.1,2.3,5.4,30.9,,,
