50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f2583e43-388f-4d09-a948-c0210b0fcdad,1,,,,3795109,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 30328, 'name': 'Ondrej Celustka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 13197, 'name': 'Tomáš Kalas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4875, 'name': 'Jan Bořil'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 16469, 'name': 'Tomáš Holeš'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 16472, 'name': 'Lukáš Masopust'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 7801, 'name': 'Antonín Barák'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 23454, 'name': 'Petr Ševčík'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Czech Republic,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,25ef737f-be41-4ed6-a2d5-3d0d1dbb6473,2,,,,3795109,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5524, 'name': 'Jens Stryger Larsen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 16554, 'name': 'Joakim Mæhle'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5527, 'name': 'Thomas Delaney'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 24443, 'name': 'Mikkel Damsgaard'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 6302, 'name': 'Kasper Dolberg'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Denmark,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3cdd611a-906e-4a1a-8dfc-ac3bfe57cbb4,3,,,,3795109,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,['5d943693-17c0-4f86-a9e7-d582d8b43fba'],0,,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5d943693-17c0-4f86-a9e7-d582d8b43fba,4,,,,3795109,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,['3cdd611a-906e-4a1a-8dfc-ac3bfe57cbb4'],0,,,,,,,,,,,,,,,,Czech Republic,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,32b2fe16-9a5e-4352-86d2-6d82558410c4,1583,,,,3795109,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Czech Republic,912,['4a2fdad4-a9ef-489f-a455-264f25083670'],0,,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4a2fdad4-a9ef-489f-a455-264f25083670,1584,,,,3795109,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Czech Republic,912,['32b2fe16-9a5e-4352-86d2-6d82558410c4'],0,,,,,,,,,,,,,,,,Czech Republic,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,,1.318863,,,,,,,,,,,,,,287cbebc-f261-4228-9839-ff0c684e433b,5,,,"[61.0, 40.1]",3795109,0,,,,,3.1362736,,Right Foot,,,,"[42.2, 40.2]",,Ground Pass,,18.800266,,,Simon Thorup Kjær,,,,,,Kick Off,1,From Kick Off,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,2,Denmark,776,['b8c8a290-ffb6-4b78-8fcc-f6545b148f70'],0,,,,,,,,,,,,,,,,Denmark,00:00:00.759,Pass,,61.0,40.1,42.2,40.2,,,
,,,,,,,,,,,,,,,,,,,2.43764,,,,,,,,,,,,,,e3a8e064-db14-408a-aa9c-ffa8e363705f,8,,,"[41.8, 40.8]",3795109,0,,,,,-0.45969898,,Right Foot,,,,"[82.4, 20.7]",,High Pass,,45.30309,Incomplete,,Kasper Dolberg,,,,,,,1,From Kick Off,Simon Thorup Kjær,5534.0,Center Back,2,Denmark,776,"['2022333c-0e80-4c91-9b40-7f70574b584f', 'b8bcf589-5199-4d1c-bc8b-5ce9740bd695']",3,,,,,,,,,,,,,,,,Denmark,00:00:03.651,Pass,,41.8,40.8,82.4,20.7,,,
,,,,,,,,,,,,,,,,,,,1.838043,,,,,,,,,,,,,,2022333c-0e80-4c91-9b40-7f70574b584f,10,,,"[37.7, 59.4]",3795109,0,,,,,-0.62791485,,Head,,,,"[51.2, 49.6]",,High Pass,,16.682026,Incomplete,,,,,,,,Recovery,1,From Kick Off,Tomáš Souček,4870.0,Left Center Midfield,2,Denmark,776,"['e3a8e064-db14-408a-aa9c-ffa8e363705f', 'e83803e3-d87c-4037-8e41-7d68b8f579fc']",6,,,,,,,,,,,,,,,,Czech Republic,00:00:06.088,Pass,,37.7,59.4,51.2,49.6,,,
,,,,,,,,,,,,,,,,,,,1.892704,,,,,,,,,,,,,,58cdd3e6-9931-4418-abe1-3e6b932b8df5,13,,,"[42.4, 73.3]",3795109,0,,,,,-0.15264933,,Head,,,,"[63.2, 70.1]",,High Pass,,21.044714,Incomplete,,Patrik Schick,,,,,,Recovery,1,From Kick Off,Vladimír Coufal,16570.0,Right Back,2,Denmark,776,"['5a75eb26-6de1-4dc6-b922-c08ec80c73a5', 'a60206ea-56fc-4547-b6a6-bf099dab368a']",9,,,,,,,,,,,,,,,,Czech Republic,00:00:09.667,Pass,,42.4,73.3,63.2,70.1,,,
