50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,7d518969-1f3b-46af-950f-824c8788ef0e,1,,,3795187,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,,0,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 22243, 'name': 'Heorhii Bushchan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 39136, 'name': 'Illia Zabarnyi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 18618, 'name': 'Sergey Krivtsov'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 18617, 'name': 'Mykola Matviyenko'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 31900, 'name': 'Oleksandr Karavaev'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 20827, 'name': 'Vitalii Mykolenko'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 16514, 'name': 'Serhii Sydorchuk'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 21294, 'name': 'Mykola Shaparenko'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3575, 'name': 'Oleksandr Zinchenko'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 8830, 'name': 'Andriy Yarmolenko'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 23649, 'name': 'Roman Yaremchuk'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Ukraine,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,4ce8113a-54f4-42fa-920c-bf0ab5006f5a,2,,,3795187,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,,0,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4706, 'name': 'Kalvin Phillips'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 12423, 'name': 'Jadon Sancho'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 7843, 'name': 'Mason Mount'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,eba69b18-adda-4469-ac00-f1c177c470a4,3,,,3795187,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,['990e382c-21c1-48cc-9cfb-cd042421e85a'],0,,,,,,,,,,,,,,Ukraine,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,990e382c-21c1-48cc-9cfb-cd042421e85a,4,,,3795187,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ukraine,911,['eba69b18-adda-4469-ac00-f1c177c470a4'],0,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,7f14501c-ab4a-46ac-9380-b7812ed0d577,2131,,,3795187,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,56,England,768,['cd062bf6-031a-489e-b2d4-a02e5b53db5d'],0,,,,,,,,,,,,,,Ukraine,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,cd062bf6-031a-489e-b2d4-a02e5b53db5d,2132,,,3795187,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,56,England,768,['7f14501c-ab4a-46ac-9380-b7812ed0d577'],0,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,,,,0.911255,,,,,,,,,,c3cecb03-86fe-4c47-903f-5f067d92f026,5,,"[60.0, 40.0]",3795187,0,,,,2.9987369,,Left Foot,,,,"[45.4, 42.1]",,Ground Pass,,14.750255,,,,Serhii Sydorchuk,,,,,Kick Off,1,From Kick Off,Roman Yaremchuk,23649.0,Left Center Forward,2,Ukraine,911,['118e00f3-a393-40fa-9dca-f4c4804bc89c'],1,,,,,,,,,,,,,,Ukraine,00:00:01.286,Pass,,60.0,40.0,45.4,42.1,,,
,,,,,,,,,,,,,,,,,,1.705711,,,,,,,,,,d1cfa175-e554-4fb4-b3b0-7432169db5dc,8,,"[46.0, 41.9]",3795187,0,,,,1.9166968,,Right Foot,,,,"[34.9, 72.7]",,Ground Pass,,32.73912,,,,Oleksandr Karavaev,,,,,,1,From Kick Off,Serhii Sydorchuk,16514.0,Center Defensive Midfield,2,Ukraine,911,['74313aa4-d8f9-4313-8301-1bc0c948047f'],3,,,,,,,,,,,,,,Ukraine,00:00:03.093,Pass,,46.0,41.9,34.9,72.7,,,
,,,,,,,,,,,,,,,,,,1.336127,,,,,,,,,,8a919718-44ca-4e9a-999c-83e9bd8b5064,11,,"[33.4, 72.2]",3795187,0,,,,-2.7154996,,Right Foot,,,,"[19.3, 65.8]",,Ground Pass,,15.4845085,,,,Illia Zabarnyi,,,,,,1,From Kick Off,Oleksandr Karavaev,31900.0,Right Wing Back,2,Ukraine,911,['3845ffcd-292d-4307-927c-9ec794ec7036'],5,,,,,,,,,,,,,,Ukraine,00:00:05.887,Pass,,33.4,72.2,19.3,65.8,,,
,,,,,,,,,,,,,,,,,,1.833822,,,,,,,,,,60b877ac-f1bc-4d05-9f25-3ea2581f1a53,15,,"[20.6, 65.2]",3795187,0,,,,-0.024994794,,Right Foot,,,,"[48.6, 64.5]",,High Pass,,28.008749,,Incomplete,,Andriy Yarmolenko,,,,,,1,From Kick Off,Illia Zabarnyi,39136.0,Right Center Back,2,Ukraine,911,"['94265a66-00e6-428d-9bf3-706d4d9e71b1', 'bd1e38eb-6a7b-461e-a9a8-79cacae6ff2a', 'fb601800-f276-4b14-bca8-c1f290cbec25']",8,,,,,,,,,,,,,,Ukraine,00:00:08.059,Pass,True,20.6,65.2,48.6,64.5,,,
