ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dd8f5655-b496-43ac-9464-7fdcc5654230,1,,,,3795220,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 11514, 'name': 'Giovanni Di Lorenzo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 4355, 'name': 'Emerson Palmieri dos Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 8181, 'name': 'Nicolò Barella'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 7156, 'name': 'Federico Chiesa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Italy,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,658c9f5b-fed5-459d-a4e8-c1b4eb137abc,2,,,,3795220,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 31953, 'name': 'Eric García Martret'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 6748, 'name': 'Ferrán Torres García'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Spain,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7270804f-2035-4965-a6ec-7975a604605e,3,,,,3795220,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,['2a9f30d2-9fff-4f0f-88a4-7c7323e753e1'],0,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2a9f30d2-9fff-4f0f-88a4-7c7323e753e1,4,,,,3795220,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,['7270804f-2035-4965-a6ec-7975a604605e'],0,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1c02f9c0-0625-42eb-a7cf-3e59f39dc855,1940,,,,3795220,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Spain,772,['98215eb5-f3f9-41b2-9dce-33a97290a03c'],0,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,98215eb5-f3f9-41b2-9dce-33a97290a03c,1941,,,,3795220,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Spain,772,['1c02f9c0-0625-42eb-a7cf-3e59f39dc855'],0,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d3b334e5-e76b-4104-8db8-3f72953058f2,3811,,,,3795220,90,,,,,,,,,,,,,,,,,,,,,,,,3,From Free Kick,,,,216,Spain,772,['5620ae1b-6fb2-47d8-9764-540357f6e12b'],0,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5620ae1b-6fb2-47d8-9764-540357f6e12b,3812,,,,3795220,90,,,,,,,,,,,,,,,,,,,,,,,,3,From Free Kick,,,,216,Spain,772,['d3b334e5-e76b-4104-8db8-3f72953058f2'],0,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,19d03e6e-d796-423a-96ea-ace3b0720f42,4330,,,,3795220,105,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,,,,244,Spain,772,['f812aaf4-eee0-4f5c-87c4-22669841175a'],0,,,,,,,,,,,,,,,Spain,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f812aaf4-eee0-4f5c-87c4-22669841175a,4331,,,,3795220,105,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,,,,244,Spain,772,['19d03e6e-d796-423a-96ea-ace3b0720f42'],0,,,,,,,,,,,,,,,Italy,00:00:00.000,Half Start,,,,,,,,
