ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,deb5d7ed-1436-487d-b7e5-90e9428abb90,1,,,,3795221,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,England,768,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4706, 'name': 'Kalvin Phillips'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 7843, 'name': 'Mason Mount'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4827c238-f5ab-44c9-959c-f9b362c286cf,2,,,,3795221,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,England,768,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5524, 'name': 'Jens Stryger Larsen'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 16554, 'name': 'Joakim Mæhle'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5527, 'name': 'Thomas Delaney'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 24443, 'name': 'Mikkel Damsgaard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 6302, 'name': 'Kasper Dolberg'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Denmark,00:00:00.000,Starting XI,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2a9c5afb-f399-4ed6-a611-ca1ffcd64d9b,3,,,,3795221,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,England,768,['c7fffaff-996c-4567-ae44-a54bbf8e094a'],0,,,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,c7fffaff-996c-4567-ae44-a54bbf8e094a,4,,,,3795221,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,England,768,['2a9c5afb-f399-4ed6-a611-ca1ffcd64d9b'],0,,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,726aaa4f-1ef3-41c9-8163-8b864af76576,1693,,,,3795221,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,,74,England,768,['0ce0fbb8-eba6-4ce8-ae07-6cfb37045514'],0,,,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0ce0fbb8-eba6-4ce8-ae07-6cfb37045514,1694,,,,3795221,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,,74,England,768,['726aaa4f-1ef3-41c9-8163-8b864af76576'],0,,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,4919a7fb-90e5-4d14-b97d-9577db4406c4,3408,,,,3795221,90,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,,159,England,768,['8948ca91-d5de-4d47-b8ee-b63e7ff51e28'],0,,,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,8948ca91-d5de-4d47-b8ee-b63e7ff51e28,3409,,,,3795221,90,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,,159,England,768,['4919a7fb-90e5-4d14-b97d-9577db4406c4'],0,,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,37aed7cc-a82b-4f80-b910-47564dc569ff,4006,,,,3795221,105,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,,,,,183,Denmark,776,['fbaf4544-92c1-458a-8f05-96caba2aa5d0'],0,,,,,,,,,,,,,,,,England,00:00:00.000,Half Start,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,fbaf4544-92c1-458a-8f05-96caba2aa5d0,4007,,,,3795221,105,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,,,,,183,Denmark,776,['37aed7cc-a82b-4f80-b910-47564dc569ff'],0,,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,,,,,,,,
